column_name,source_table,data_type,row_count,null_count,null_percentage,unique_count,unique_count_method,min_value,max_value,mean_value,std_value,profile_timestamp
id,cards_data,int,6146,0,0.0,6146,exact_primary_key,0.0,6145.0,3072.5,1774.3417089162956,2026-08-16T07:08:59+00:00
client_id,cards_data,int,6146,0,0.0,1995,approx_count_distinct,0.0,1999.0,994.9396355353075,578.6146262379358,2026-08-16T07:08:59+00:00
card_brand,cards_data,nvarchar(40),6146,0,0.0,4,approx_count_distinct,,,,,2026-08-16T07:08:59+00:00
card_type,cards_data,nvarchar(40),6146,0,0.0,3,approx_count_distinct,,,,,2026-08-16T07:08:59+00:00
card_number,cards_data,varchar(32),6146,0,0.0,6178,approx_count_distinct,,,,,2026-08-16T07:08:59+00:00
expires,cards_data,varchar(16),6146,0,0.0,258,approx_count_distinct,,,,,2026-08-16T07:08:59+00:00
cvv,cards_data,varchar(8),6146,0,0.0,1000,approx_count_distinct,,,,,2026-08-16T07:08:59+00:00
has_chip,cards_data,varchar(8),6146,0,0.0,2,approx_count_distinct,,,,,2026-08-16T07:08:59+00:00
num_cards_issued,cards_data,int,6146,0,0.0,3,approx_count_distinct,1.0,3.0,1.5030914415880248,0.5191909056590776,2026-08-16T07:08:59+00:00
credit_limit,cards_data,varchar(32),6146,0,0.0,3767,approx_count_distinct,0.0,151223.0,14347.493979824276,12014.4638840389,2026-08-16T07:08:59+00:00
acct_open_date,cards_data,varchar(16),6146,0,0.0,299,approx_count_distinct,,,,,2026-08-16T07:08:59+00:00
year_pin_last_changed,cards_data,int,6146,0,0.0,19,approx_count_distinct,2002.0,2020.0,2013.4367068011716,4.270699440305043,2026-08-16T07:08:59+00:00
card_on_dark_web,cards_data,varchar(8),6146,0,0.0,1,approx_count_distinct,,,,,2026-08-16T07:08:59+00:00
transaction_id,fraud_labels,bigint,8914963,0,0.0,8914963,exact_primary_key,7475327.0,23761870.0,15584732.353505898,4703990.891185149,2026-08-16T07:08:59+00:00
is_fraud,fraud_labels,bit,8914963,0,0.0,2,approx_count_distinct,0.0,1.0,0.0014954633014180765,0.038642296236493345,2026-08-16T07:08:59+00:00
mcc,mcc_codes,int,109,0,0.0,109,exact_primary_key,1711.0,9402.0,5311.165137614679,1747.7604056162927,2026-08-16T07:08:59+00:00
description,mcc_codes,nvarchar(255),109,0,0.0,109,approx_count_distinct,,,,,2026-08-16T07:08:59+00:00
id,transactions_data,bigint,13305915,0,0.0,13305915,exact_primary_key,7475327.0,23761874.0,15584024.565583952,4704498.649461127,2026-08-16T07:08:59+00:00
date,transactions_data,datetime2,13305915,0,0.0,4140085,approx_count_distinct,2010-01-01 00:01:00,2019-10-31 23:59:00,,,2026-08-16T07:08:59+00:00
client_id,transactions_data,int,13305915,0,0.0,1205,approx_count_distinct,0.0,1998.0,1026.812045845776,581.6385589662304,2026-08-16T07:08:59+00:00
