transaction_id,transaction_date,transaction_hour,day_of_week,is_weekend,transaction_month,amount,use_chip,merchant_state,mcc,age_at_transaction,retirement_age,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,card_brand,card_type,has_chip,num_cards_issued,credit_limit,account_open_month,account_open_year,years_since_pin_change,card_on_dark_web,mcc_description,amount_to_credit_limit,amount_to_yearly_income,card_account_age_years,months_to_card_expiration,is_fraud,split
20774913,2018-02-06 04:48:00,4,2,False,2,3.29,Chip Transaction,OR,5912,41,65,15069.00,30721.00,49961.00,749,3,Mastercard,Debit,YES,2,6832.00,8,2010,3,No,Drug Stores and Pharmacies,0.000482,0.000107,7.500000,10,False,train
20774915,2018-02-06 04:51:00,4,2,False,2,233.55,Chip Transaction,NY,3395,60,69,16920.00,34496.00,33122.00,731,5,Discover,Credit,YES,2,7300.00,12,1991,9,No,Welding Repair,0.031993,0.006770,26.166666,38,False,train
20774916,2018-02-06 04:53:00,4,2,False,2,15.87,Online Transaction,,4900,59,66,18316.00,37342.00,48611.00,779,5,Mastercard,Debit,YES,1,16144.00,2,2003,7,No,"Utilities - Electric, Gas, Water, Sanitary",0.000983,0.000425,15.000000,65,False,train
20774917,2018-02-06 04:55:00,4,2,False,2,234.85,Chip Transaction,CA,4814,48,68,24069.00,49076.00,56547.00,715,4,Visa,Credit,YES,2,19700.00,5,2002,7,No,Telecommunication Services,0.011921,0.004785,15.750000,53,False,train
20774919,2018-02-06 04:57:00,4,2,False,2,49.91,Chip Transaction,FL,5912,61,66,16150.00,32928.00,80794.00,850,5,Discover,Credit,YES,2,4000.00,7,2008,10,No,Drug Stores and Pharmacies,0.012478,0.001516,9.583333,24,False,train
20774920,2018-02-06 04:58:00,4,2,False,2,212.29,Chip Transaction,NY,3684,64,66,18340.00,36052.00,6602.00,767,4,Discover,Credit,YES,2,9300.00,10,2003,6,No,Semiconductors and Related Devices,0.022827,0.005888,14.333333,61,False,train
20774922,2018-02-06 05:01:00,5,2,False,2,121.05,Chip Transaction,CA,5912,45,68,23740.00,48406.00,80441.00,683,3,Visa,Credit,YES,2,5900.00,9,2014,4,No,Drug Stores and Pharmacies,0.020517,0.002501,3.416666,74,False,train
20774923,2018-02-06 05:05:00,5,2,False,2,29.02,Chip Transaction,PA,5719,72,66,26072.00,54013.00,3628.00,779,8,Mastercard,Debit,YES,1,33980.00,4,2007,8,No,Miscellaneous Home Furnishing Stores,0.000854,0.000537,10.833333,38,False,train
20774924,2018-02-06 05:09:00,5,2,False,2,0.25,Chip Transaction,CO,5942,28,66,33151.00,67589.00,0.00,734,3,Visa,Debit,YES,2,27623.00,2,2010,0,No,Book Stores,0.000009,0.000004,8.000000,28,False,train
20774925,2018-02-06 05:09:00,5,2,False,2,4.01,Chip Transaction,AZ,5411,39,65,27646.00,56368.00,71544.00,664,3,Visa,Debit,YES,1,17010.00,12,2011,7,No,"Grocery Stores, Supermarkets",0.000236,0.000071,6.166666,42,False,train
20774927,2018-02-06 05:12:00,5,2,False,2,6.37,Online Transaction,,5815,44,67,23917.00,48762.00,143208.00,771,6,Visa,Debit,YES,1,24230.00,12,2009,7,No,"Digital Goods - Media, Books, Apps",0.000263,0.000131,8.166666,76,False,train
20774928,2018-02-06 05:16:00,5,2,False,2,12.62,Online Transaction,,5815,39,72,23559.00,48038.00,83238.00,704,6,Mastercard,Debit,YES,2,6237.00,1,2006,11,No,"Digital Goods - Media, Books, Apps",0.002023,0.000263,12.083333,68,False,train
20774929,2018-02-06 05:19:00,5,2,False,2,8.04,Chip Transaction,CO,5912,45,65,24115.00,49169.00,65994.00,747,2,Visa,Credit,YES,2,8700.00,6,2015,3,No,Drug Stores and Pharmacies,0.000924,0.000164,2.666666,24,False,train
20774930,2018-02-06 05:20:00,5,2,False,2,37.35,Chip Transaction,FL,5813,74,63,34909.00,26660.00,28332.00,721,4,Visa,Debit,YES,2,32761.00,3,2008,10,No,Drinking Places (Alcoholic Beverages),0.001140,0.001401,9.916666,32,False,train
20774932,2018-02-06 05:20:00,5,2,False,2,21.30,Chip Transaction,KY,5813,29,75,25258.00,51501.00,140481.00,729,3,Mastercard,Debit,YES,2,25390.00,4,2011,7,No,Drinking Places (Alcoholic Beverages),0.000839,0.000414,6.833333,54,False,train
20774933,2018-02-06 05:20:00,5,2,False,2,40.00,Swipe Transaction,WI,4829,44,67,20013.00,40810.00,65643.00,614,4,Visa,Debit,YES,1,21757.00,1,2011,7,No,Money Transfer,0.001838,0.000980,7.083333,42,False,train
20774934,2018-02-06 05:21:00,5,2,False,2,120.00,Chip Transaction,FL,4829,58,66,19382.00,39521.00,61861.00,491,3,Mastercard,Debit,YES,1,7546.00,3,2004,8,No,Money Transfer,0.015902,0.003036,13.916666,29,False,train
20774938,2018-02-06 05:29:00,5,2,False,2,137.46,Chip Transaction,NY,5300,54,66,31288.00,63796.00,82173.00,730,3,Visa,Debit,YES,1,23404.00,7,2010,6,No,Wholesale Clubs,0.005873,0.002155,7.583333,68,False,train
20774939,2018-02-06 05:30:00,5,2,False,2,72.90,Swipe Transaction,SC,5311,42,68,41380.00,84365.00,113529.00,796,5,Visa,Credit,YES,1,23400.00,11,2007,10,No,Department Stores,0.003115,0.000864,10.250000,31,False,train
20774943,2018-02-06 05:33:00,5,2,False,2,170.19,Online Transaction,,4899,80,65,27814.00,66999.00,3140.00,730,5,Mastercard,Debit,NO,1,25985.00,7,2017,1,No,"Cable, Satellite, and Other Pay Television Services",0.006550,0.002540,0.583333,45,False,train
20774944,2018-02-06 05:34:00,5,2,False,2,25.67,Chip Transaction,TN,5970,31,65,20142.00,41069.00,64073.00,644,3,Amex,Credit,YES,2,9700.00,2,2014,4,No,"Artist Supply Stores, Craft Shops",0.002646,0.000625,4.000000,75,False,train
20774946,2018-02-06 05:35:00,5,2,False,2,2.95,Swipe Transaction,OH,5541,54,67,15603.00,31814.00,43140.00,693,3,Visa,Debit,YES,2,16638.00,2,2015,3,No,Service Stations,0.000177,0.000093,3.000000,57,False,train
20774947,2018-02-06 05:36:00,5,2,False,2,180.00,Chip Transaction,KS,4829,74,69,28490.00,19682.00,0.00,683,4,Mastercard,Debit,YES,2,21417.00,11,2010,8,No,Money Transfer,0.008405,0.009145,7.250000,39,False,train
20774949,2018-02-06 05:37:00,5,2,False,2,12.36,Chip Transaction,GA,5311,51,70,13864.00,28269.00,66681.00,734,6,Discover,Credit,YES,1,7600.00,8,2004,7,No,Department Stores,0.001626,0.000437,13.500000,37,False,train
20774950,2018-02-06 05:37:00,5,2,False,2,17.71,Chip Transaction,NJ,7538,73,65,21861.00,46031.00,8332.00,661,5,Visa,Credit,YES,1,9700.00,1,2003,,No,Automotive Service Shops,0.001826,0.000385,15.083333,76,False,train
20774951,2018-02-06 05:38:00,5,2,False,2,62.30,Online Transaction,,4784,53,61,21992.00,44839.00,63194.00,625,3,Visa,Credit,YES,2,13200.00,6,2010,7,No,Tolls and Bridge Fees,0.004720,0.001389,7.666666,70,False,train
20774952,2018-02-06 05:39:00,5,2,False,2,20.75,Swipe Transaction,IL,7538,45,61,14497.00,29564.00,54279.00,694,2,Mastercard,Debit (Prepaid),NO,1,39.00,2,2006,12,No,Automotive Service Shops,0.532051,0.000702,12.000000,28,False,train
20774954,2018-02-06 05:39:00,5,2,False,2,14.17,Chip Transaction,KY,5813,29,75,25258.00,51501.00,140481.00,729,3,Visa,Debit,YES,1,32269.00,5,2014,4,No,Drinking Places (Alcoholic Beverages),0.000439,0.000275,3.750000,32,False,train
20774955,2018-02-06 05:39:00,5,2,False,2,38.70,Chip Transaction,NY,5942,37,62,29088.00,59313.00,102360.00,802,2,Visa,Credit,YES,2,8400.00,3,2013,5,No,Book Stores,0.004607,0.000652,4.916666,24,False,train
20774956,2018-02-06 05:41:00,5,2,False,2,31.48,Chip Transaction,AR,5912,36,66,17093.00,34854.00,40722.00,746,5,Mastercard,Debit,YES,2,8212.00,8,2010,7,No,Drug Stores and Pharmacies,0.003833,0.000903,7.500000,71,False,train
20774957,2018-02-06 05:42:00,5,2,False,2,3.21,Chip Transaction,IN,5541,59,65,18324.00,37362.00,21600.00,703,4,Visa,Debit,YES,2,12106.00,2,2009,9,No,Service Stations,0.000265,0.000086,9.000000,65,False,train
20774960,2018-02-06 05:48:00,5,2,False,2,158.66,Chip Transaction,TN,8021,47,70,18658.00,38041.00,27813.00,782,4,Visa,Credit,YES,1,14100.00,9,2006,7,No,Dentists and Orthodontists,0.011252,0.004171,11.416666,29,False,train
