variable,total_filas,filas_nulas,porcentaje_nulo
account_open_month,8914963,0,0.000000
account_open_year,8914963,0,0.000000
age_at_transaction,8914963,0,0.000000
amount,8914963,0,0.000000
amount_to_credit_limit,8914963,35689,0.400327
amount_to_yearly_income,8914963,0,0.000000
card_account_age_years,8914963,0,0.000000
card_brand,8914963,0,0.000000
card_id,8914963,0,0.000000
card_type,8914963,0,0.000000
client_id,8914963,0,0.000000
credit_limit,8914963,0,0.000000
credit_score,8914963,0,0.000000
current_age,8914963,0,0.000000
day_of_week,8914963,0,0.000000
gender,8914963,0,0.000000
has_chip,8914963,0,0.000000
is_fraud,8914963,0,0.000000
is_weekend,8914963,0,0.000000
mcc,8914963,0,0.000000
mcc_description,8914963,0,0.000000
merchant_city,8914963,0,0.000000
merchant_id,8914963,0,0.000000
merchant_state,8914963,1047865,11.754003
merchant_zip,8914963,1107377,12.421555
months_to_card_expiration,8914963,0,0.000000
num_cards_issued,8914963,0,0.000000
num_credit_cards,8914963,0,0.000000
per_capita_income,8914963,0,0.000000
retirement_age,8914963,0,0.000000
total_debt,8914963,0,0.000000
transaction_date,8914963,0,0.000000
transaction_hour,8914963,0,0.000000
transaction_id,8914963,0,0.000000
transaction_month,8914963,0,0.000000
use_chip,8914963,0,0.000000
yearly_income,8914963,0,0.000000
years_since_pin_change,8914963,1293579,14.510200
