feature,source_reference,role,analysis_kind,total_rows,non_null_rows,null_pct,approx_distinct,signal_measure,signal_value,class_0_mean,class_1_mean,minimum_supported_fraud_rate_pct,maximum_supported_fraud_rate_pct,maximum_supported_lift,provisional_use,reason,evidence_scope
transaction_id,transactions_data.id,identifier,not_analyzed,,,,,,,,,,,,exclude,"Identifica la fila, pero no describe el comportamiento de la transacción.",univariate_not_causal
transaction_date,transactions_data.date,temporal,not_analyzed,,,,,,,,,,,,use_derived_only,"Se usan hora, día y mes; la fecha completa podría memorizar periodos.",univariate_not_causal
transaction_hour,derived_from_transaction_date,predictor,categorical_fraud_rate,990261,990261,0.0,24,relative_rate_variation,0.442144,,,0.003223,0.279981,1.96217,candidate,Puede pasar a la comparación de modelos si su calidad es suficiente.,univariate_not_causal
day_of_week,derived_from_transaction_date,predictor,categorical_fraud_rate,990261,990261,0.0,7,relative_rate_variation,0.166879,,,0.10206,0.198219,1.389161,candidate,Puede pasar a la comparación de modelos si su calidad es suficiente.,univariate_not_causal
is_weekend,derived_from_transaction_date,predictor,categorical_fraud_rate,990261,990261,0.0,2,relative_rate_variation,0.042846,,,0.13841,0.153388,1.074979,candidate,Puede pasar a la comparación de modelos si su calidad es suficiente.,univariate_not_causal
transaction_month,derived_from_transaction_date,predictor,categorical_fraud_rate,990261,990261,0.0,12,relative_rate_variation,0.09997,,,0.100683,0.168254,1.179163,candidate,Puede pasar a la comparación de modelos si su calidad es suficiente.,univariate_not_causal
client_id,transactions_data.client_id,identifier,not_analyzed,,,,,,,,,,,,exclude,"Se conserva para integrar datos, no como predictor.",univariate_not_causal
card_id,transactions_data.card_id,identifier,not_analyzed,,,,,,,,,,,,exclude,"Se conserva para integrar datos, no como predictor.",univariate_not_causal
amount,transactions_data.amount,predictor,numeric_class_comparison,990261,990261,0.0,33517,standardized_mean_difference,0.402738,42.763723,109.743496,,,,candidate,Puede pasar a la comparación de modelos si su calidad es suficiente.,univariate_not_causal
use_chip,transactions_data.use_chip,predictor,categorical_fraud_rate,990261,990261,0.0,3,relative_rate_variation,1.105335,,,0.02567,0.813623,5.702045,candidate,Puede pasar a la comparación de modelos si su calidad es suficiente.,univariate_not_causal
merchant_id,transactions_data.merchant_id,identifier,not_analyzed,,,,,,,,,,,,exclude,Su cardinalidad elevada puede memorizar comercios concretos.,univariate_not_causal
merchant_city,transactions_data.merchant_city,predictor,categorical_fraud_rate,990261,990261,0.0,9100,relative_rate_variation,0.591504,,,0.0,0.810579,5.680716,hold_cardinality_review,El informe anterior la excluyó por cardinalidad; ahora se mide antes de decidir.,univariate_not_causal
merchant_state,transactions_data.merchant_state,predictor,categorical_fraud_rate,990261,873431,11.7979,168,relative_rate_variation,1.305028,,,0.0,0.810579,5.680716,evaluate_then_decide,Su uso se decidirá con estos resultados y la validación del modelo.,univariate_not_causal
merchant_zip,transactions_data.zip,predictor,categorical_fraud_rate,990261,866987,12.448637,18070,relative_rate_variation,0.790588,,,1.048883,1.048883,7.350799,hold_cardinality_review,Puede generar demasiadas categorías y memorizar zonas específicas.,univariate_not_causal
mcc,transactions_data.mcc,predictor,categorical_fraud_rate,990261,990261,0.0,109,relative_rate_variation,0.813523,,,0.0,0.732257,5.131815,candidate,Puede pasar a la comparación de modelos si su calidad es suficiente.,univariate_not_causal
current_age,users_data.current_age,profile_snapshot,numeric_class_comparison,990261,990261,0.0,73,standardized_mean_difference,0.113488,53.999185,55.773531,,,,hold_temporal_review,"Se compara con el informe anterior, pero se prefiere age_at_transaction.",univariate_not_causal
age_at_transaction,derived_from_birth_year_and_month,predictor,numeric_class_comparison,990261,990261,0.0,83,standardized_mean_difference,0.113425,48.869024,50.671621,,,,candidate,Puede pasar a la comparación de modelos si su calidad es suficiente.,univariate_not_causal
retirement_age,users_data.retirement_age,predictor,numeric_class_comparison,990261,990261,0.0,27,standardized_mean_difference,0.034321,66.489792,66.607926,,,,evaluate_then_decide,Su uso se decidirá con estos resultados y la validación del modelo.,univariate_not_causal
gender,users_data.gender,demographic,categorical_fraud_rate,990261,990261,0.0,2,relative_rate_variation,0.017567,,,0.140125,0.14514,1.017176,hold_fairness_review,"Se mide para auditoría, pero no se aprueba como predictor sin revisar equidad.",univariate_not_causal
per_capita_income,users_data.per_capita_income,profile_snapshot,numeric_class_comparison,990261,990261,0.0,1124,standardized_mean_difference,0.076546,23996.679074,23112.905166,,,,hold_temporal_review,La fuente entrega una fotografía del cliente cuya fecha histórica debe confirmarse.,univariate_not_causal
yearly_income,users_data.yearly_income,profile_snapshot,numeric_class_comparison,990261,990261,0.0,1206,standardized_mean_difference,0.083354,46728.010161,44755.968861,,,,hold_temporal_review,La fuente entrega una fotografía del cliente cuya fecha histórica debe confirmarse.,univariate_not_causal
total_debt,users_data.total_debt,profile_snapshot,numeric_class_comparison,990261,990261,0.0,1120,standardized_mean_difference,0.062451,58116.508867,54908.825195,,,,hold_temporal_review,La fuente entrega una fotografía del cliente cuya fecha histórica debe confirmarse.,univariate_not_causal
credit_score,users_data.credit_score,profile_snapshot,numeric_class_comparison,990261,990261,0.0,278,standardized_mean_difference,0.007271,713.964917,714.435952,,,,hold_temporal_review,La fuente entrega una fotografía del cliente cuya fecha histórica debe confirmarse.,univariate_not_causal
num_credit_cards,users_data.num_credit_cards,predictor,numeric_class_comparison,990261,990261,0.0,9,standardized_mean_difference,0.194107,3.840227,4.154282,,,,candidate,Puede pasar a la comparación de modelos si su calidad es suficiente.,univariate_not_causal
card_brand,cards_data.card_brand,predictor,categorical_fraud_rate,990261,990261,0.0,4,relative_rate_variation,0.039557,,,0.135108,0.17871,1.252437,candidate,Puede pasar a la comparación de modelos si su calidad es suficiente.,univariate_not_causal
card_type,cards_data.card_type,predictor,categorical_fraud_rate,990261,990261,0.0,3,relative_rate_variation,0.13179,,,0.127577,0.204861,1.435711,candidate,Puede pasar a la comparación de modelos si su calidad es suficiente.,univariate_not_causal
has_chip,cards_data.has_chip,predictor,categorical_fraud_rate,990261,990261,0.0,2,relative_rate_variation,0.029056,,,0.121993,0.144993,1.016145,candidate,Puede pasar a la comparación de modelos si su calidad es suficiente.,univariate_not_causal
num_cards_issued,cards_data.num_cards_issued,predictor,numeric_class_comparison,990261,990261,0.0,3,standardized_mean_difference,0.058222,1.522558,1.552725,,,,candidate,Puede pasar a la comparación de modelos si su calidad es suficiente.,univariate_not_causal
credit_limit,cards_data.credit_limit,profile_snapshot,numeric_class_comparison,990261,990261,0.0,2583,standardized_mean_difference,0.128473,15563.873414,14042.788393,,,,hold_temporal_review,Debe confirmarse que el límite corresponde al momento de la transacción.,univariate_not_causal
account_open_month,derived_from_cards_data.acct_open_date,temporal,categorical_fraud_rate,990261,990261,0.0,12,relative_rate_variation,0.058153,,,0.119606,0.157415,1.103197,prefer_derived_version,"Se prioriza card_account_age_years, que expresa antigüedad en la fecha de compra.",univariate_not_causal
account_open_year,derived_from_cards_data.acct_open_date,temporal,numeric_class_comparison,990261,990261,0.0,29,standardized_mean_difference,0.002533,2007.357071,2007.34678,,,,prefer_derived_version,"Se prioriza card_account_age_years, que expresa antigüedad en la fecha de compra.",univariate_not_causal
years_since_pin_change,derived_from_year_pin_last_changed,predictor,numeric_class_comparison,990261,846746,14.492644,18,standardized_mean_difference,0.007445,4.222427,4.200334,,,,evaluate_then_decide,Su uso se decidirá con estos resultados y la validación del modelo.,univariate_not_causal
mcc_description,mcc_codes.description,interpretation,not_analyzed,,,,,,,,,,,,exclude_duplicate_use_mcc,Se mantiene para interpretar resultados; el modelo evaluará el código MCC.,univariate_not_causal
amount_to_credit_limit,derived_from_amount_and_credit_limit,predictor,numeric_class_comparison,990261,986372,0.392725,108844,standardized_mean_difference,0.171288,0.029884,0.158895,,,,candidate,Puede pasar a la comparación de modelos si su calidad es suficiente.,univariate_not_causal
amount_to_yearly_income,derived_from_amount_and_yearly_income,predictor,numeric_class_comparison,990261,990261,0.0,23177,standardized_mean_difference,0.072794,0.011187,0.280586,,,,hold_temporal_review,Su uso depende de confirmar la vigencia temporal del ingreso anual.,univariate_not_causal
card_account_age_years,derived_from_acct_open_date,predictor,numeric_class_comparison,990261,990261,0.0,357,standardized_mean_difference,0.006376,7.159764,7.188252,,,,candidate,Puede pasar a la comparación de modelos si su calidad es suficiente.,univariate_not_causal
months_to_card_expiration,derived_from_cards_data.expires,predictor,numeric_class_comparison,990261,990261,0.0,180,standardized_mean_difference,0.028347,82.705647,81.546355,,,,candidate,Puede pasar a la comparación de modelos si su calidad es suficiente.,univariate_not_causal
is_fraud,fraud_labels.is_fraud,target,not_analyzed,,,,,,,,,,,,target_only,Es la respuesta que se busca predecir y nunca una entrada del modelo.,univariate_not_causal
amount_signed_log,derived_from_amount,predictor,numeric_class_comparison,990261,990261,0.0,33889,standardized_mean_difference,0.312248,2.904708,3.607886,,,,compare_with_amount,Se comparará con amount; no se eliminarán los montos atípicos.,univariate_not_causal
