feature,category_value,transactions,frauds,fraud_rate_pct,supported_for_signal
transaction_hour,12,70813,160,0.225947,yes
transaction_hour,11,70298,161,0.229025,yes
transaction_hour,7,67351,56,0.083147,yes
transaction_hour,13,67006,138,0.205952,yes
transaction_hour,14,66109,130,0.196645,yes
transaction_hour,8,65488,40,0.06108,yes
transaction_hour,10,65000,145,0.223077,yes
transaction_hour,9,64777,95,0.146657,yes
transaction_hour,16,64531,108,0.167361,yes
transaction_hour,15,63887,94,0.147135,yes
transaction_hour,6,56397,44,0.078018,yes
transaction_hour,17,36093,62,0.171778,yes
transaction_hour,18,35360,39,0.110294,yes
transaction_hour,19,34030,42,0.123421,yes
transaction_hour,21,31710,5,0.015768,yes
transaction_hour,20,31298,3,0.009585,yes
transaction_hour,22,31029,1,0.003223,yes
transaction_hour,5,13489,30,0.222403,yes
transaction_hour,23,11807,3,0.025409,yes
transaction_hour,0,10478,2,0.019088,yes
transaction_hour,1,8639,8,0.092603,yes
transaction_hour,4,8572,24,0.279981,yes
transaction_hour,2,8435,4,0.047421,yes
transaction_hour,3,7664,19,0.247912,yes
day_of_week,4,143113,206,0.143942,yes
day_of_week,6,141684,154,0.108693,yes
day_of_week,7,141258,280,0.198219,yes
day_of_week,2,141162,209,0.148057,yes
day_of_week,1,141150,189,0.1339,yes
day_of_week,3,141093,144,0.10206,yes
day_of_week,5,140801,231,0.164061,yes
is_weekend,0,707319,979,0.13841,yes
is_weekend,1,282942,434,0.153388,yes
transaction_month,8,86123,136,0.157914,yes
transaction_month,7,85784,129,0.150378,yes
transaction_month,10,85705,128,0.14935,yes
transaction_month,5,85504,111,0.129818,yes
transaction_month,3,85473,117,0.136885,yes
transaction_month,1,84564,132,0.156095,yes
transaction_month,6,83430,84,0.100683,yes
transaction_month,9,83129,99,0.119092,yes
transaction_month,4,82124,122,0.148556,yes
transaction_month,12,77264,130,0.168254,yes
transaction_month,2,76565,114,0.148893,yes
transaction_month,11,74596,111,0.148802,yes
use_chip,Swipe Transaction,518118,133,0.02567,yes
use_chip,Chip Transaction,355750,333,0.093605,yes
use_chip,Online Transaction,116393,947,0.813623,yes
merchant_city,ONLINE,116830,947,0.810579,yes
merchant_city,Houston,11001,1,0.00909,yes
merchant_city,Miami,6459,0,0.0,yes
merchant_city,Brooklyn,6154,0,0.0,yes
merchant_city,Los Angeles,5981,1,0.01672,yes
merchant_city,Chicago,5446,0,0.0,yes
merchant_city,Dallas,5256,0,0.0,yes
merchant_city,Louisville,4823,0,0.0,no
merchant_city,Philadelphia,4601,0,0.0,no
merchant_city,San Antonio,4428,0,0.0,no
merchant_city,Indianapolis,4393,0,0.0,no
merchant_city,Orlando,4287,0,0.0,no
merchant_city,Albuquerque,4248,1,0.02354,no
merchant_city,Atlanta,4183,0,0.0,no
merchant_city,New York,4090,0,0.0,no
merchant_city,Minneapolis,4018,0,0.0,no
merchant_city,Bronx,3973,0,0.0,no
merchant_city,Tucson,3955,0,0.0,no
merchant_city,Las Vegas,3905,0,0.0,no
merchant_city,Richmond,3710,0,0.0,no
merchant_city,North Hollywood,3659,0,0.0,no
merchant_city,San Francisco,3614,0,0.0,no
merchant_city,Oakland,3376,0,0.0,no
merchant_city,San Diego,3293,0,0.0,no
merchant_city,Fayetteville,3270,0,0.0,no
merchant_city,Memphis,3190,0,0.0,no
merchant_city,Columbia,3124,0,0.0,no
merchant_city,Jacksonville,3111,0,0.0,no
merchant_city,Canton,3046,0,0.0,no
merchant_city,El Paso,2959,0,0.0,no
merchant_city,Olympia,2905,0,0.0,no
merchant_city,Cleveland,2882,0,0.0,no
merchant_city,Charlotte,2807,0,0.0,no
merchant_city,Monroe,2755,0,0.0,no
merchant_city,Seattle,2750,0,0.0,no
merchant_city,Aurora,2713,1,0.03686,no
merchant_city,Gainesville,2644,0,0.0,no
merchant_city,Sacramento,2611,0,0.0,no
merchant_city,Yorba Linda,2607,0,0.0,no
merchant_city,Detroit,2498,1,0.040032,no
merchant_city,Farmington,2464,0,0.0,no
merchant_city,Greenville,2418,0,0.0,no
merchant_city,Columbus,2326,0,0.0,no
merchant_city,San Jose,2268,0,0.0,no
merchant_city,Tacoma,2236,0,0.0,no
merchant_city,Durham,2212,0,0.0,no
merchant_city,Chula Vista,2211,0,0.0,no
merchant_city,Fort Lauderdale,2193,0,0.0,no
merchant_city,Mobile,2170,0,0.0,no
merchant_city,Fresno,2136,0,0.0,no
