mcc,mcc_description,transacciones,fraudes,porcentaje_fraude
5311,Department Stores,318511,2251,0.706726
5300,Wholesale Clubs,403343,991,0.245697
5310,Discount Stores,165755,859,0.518235
4829,Money Transfer,394401,725,0.183823
5912,Drug Stores and Pharmacies,517400,479,0.092578
5815,"Digital Goods - Media, Books, Apps",41967,449,1.069888
5411,"Grocery Stores, Supermarkets",1066833,425,0.039838
5732,Electronics Stores,4689,402,8.573257
5651,Family Clothing Stores,48647,385,0.791416
5719,Miscellaneous Home Furnishing Stores,57608,313,0.543327
4121,Taxicabs and Limousines,335586,300,0.089396
5094,Precious Stones and Metals,3525,242,6.865248
5814,Fast Food Restaurants,334333,235,0.070289
5211,Lumber and Building Materials,116303,206,0.177124
5045,"Computers, Computer Peripheral Equipment",1883,204,10.833776
