architecture,epoch,training_loss,validation_pr_auc,validation_roc_auc,learning_rate,epoch_seconds
mlp_basic_64,1,0.1368442,0.00636614,0.66205966,0.001,18.8477
mlp_basic_64,2,0.01144886,0.01162427,0.82038689,0.001,18.2624
mlp_basic_64,3,0.00990242,0.01343001,0.85402111,0.001,19.0933
mlp_basic_64,4,0.00942323,0.01952599,0.87624939,0.001,18.7886
mlp_basic_64,5,0.00907197,0.02986427,0.88691128,0.001,18.2977
mlp_basic_64,6,0.00879342,0.03143596,0.89458576,0.001,18.8365
mlp_basic_64,7,0.00855991,0.04417939,0.89716148,0.001,18.8906
mlp_basic_64,8,0.00837378,0.04856285,0.90206394,0.001,19.0702
mlp_basic_64,9,0.00821866,0.07943616,0.90187745,0.001,18.5728
mlp_basic_64,10,0.00806063,0.07924337,0.90543324,0.001,18.9546
mlp_basic_64,11,0.00795293,0.08712256,0.90773868,0.001,18.7604
mlp_basic_64,12,0.0078297,0.11449989,0.90808214,0.001,18.8246
mlp_basic_64,13,0.00773364,0.15042978,0.90678762,0.001,18.9639
mlp_basic_64,14,0.00763061,0.14071895,0.90902943,0.001,18.6049
mlp_basic_64,15,0.00757543,0.16568584,0.90803005,0.001,18.7706
mlp_deep_l2_128_64_32,1,0.08834331,0.01760052,0.82062748,0.001,20.1023
mlp_deep_l2_128_64_32,2,0.01016054,0.02462518,0.88105483,0.001,20.3073
mlp_deep_l2_128_64_32,3,0.00970081,0.03196328,0.88200271,0.001,20.036
mlp_deep_l2_128_64_32,4,0.0094758,0.03867091,0.87715555,0.001,19.9645
mlp_deep_l2_128_64_32,5,0.00942804,0.05026882,0.88322917,0.001,20.2298
mlp_deep_l2_128_64_32,6,0.00944469,0.04017129,0.87991609,0.001,20.166
mlp_deep_l2_128_64_32,7,0.00930827,0.03290824,0.88681107,0.001,19.8844
mlp_deep_l2_128_64_32,8,0.00937418,0.03649995,0.88902309,0.001,20.1568
mlp_wide_adam_256_128_64,1,0.1017004,0.01330237,0.74432304,0.0005,21.8964
mlp_wide_adam_256_128_64,2,0.01018169,0.02897518,0.84018584,0.0005,23.2216
mlp_wide_adam_256_128_64,3,0.00940523,0.02700369,0.87669941,0.0005,25.6806
mlp_wide_adam_256_128_64,4,0.00891306,0.04209758,0.8856924,0.0005,26.2049
mlp_wide_adam_256_128_64,5,0.00864626,0.0584091,0.8959822,0.0005,23.363
mlp_wide_adam_256_128_64,6,0.00855656,0.05497294,0.8975483,0.0005,27.0717
mlp_wide_adam_256_128_64,7,0.00847635,0.06366283,0.90182938,0.0005,30.027
mlp_wide_adam_256_128_64,8,0.00838294,0.07059398,0.90300335,0.0005,26.1944
mlp_wide_adam_256_128_64,9,0.00836412,0.12896904,0.89571949,0.0005,24.5265
mlp_wide_adam_256_128_64,10,0.00827456,0.09516668,0.89612518,0.0005,24.076
mlp_wide_adam_256_128_64,11,0.00828193,0.10393202,0.89800084,0.00025,23.8922
mlp_wide_adam_256_128_64,12,0.00818301,0.12864387,0.90464827,0.00025,23.4117
