decision_id,evaluation_year,candidate,policy,month,rows,frauds,tp,fp,recall,alerts_per_10000,review_hours_per_10000,capacity_exceeded
D00046,2015,rf_profundo,base_min_cost_capacity,2015-01,7381,0,0,1931,,2616.1766698279366,261.61766698279365,True
D00046,2015,rf_profundo,base_min_cost_capacity,2015-02,6529,0,0,1671,,2559.3505896768265,255.93505896768266,True
D00046,2015,rf_profundo,base_min_cost_capacity,2015-03,7599,1,0,1948,0.0,2563.4951967364127,256.3495196736413,True
D00046,2015,rf_profundo,base_min_cost_capacity,2015-04,7210,20,12,1913,0.6,2669.902912621359,266.9902912621359,True
D00046,2015,rf_profundo,base_min_cost_capacity,2015-05,7505,16,8,1936,0.5,2590.2731512325117,259.0273151232512,True
D00046,2015,rf_profundo,base_min_cost_capacity,2015-06,7427,20,12,1835,0.6,2486.872222970244,248.68722229702442,True
D00046,2015,rf_profundo,base_min_cost_capacity,2015-07,7406,27,15,1896,0.5555555555555556,2580.3402646502836,258.0340264650284,True
D00046,2015,rf_profundo,base_min_cost_capacity,2015-08,7473,21,17,2019,0.8095238095238095,2724.474775859762,272.4474775859762,True
D00046,2015,rf_profundo,base_min_cost_capacity,2015-09,7246,14,10,1893,0.7142857142857143,2626.2765663814516,262.62765663814514,True
D00046,2015,rf_profundo,base_min_cost_capacity,2015-10,7404,21,15,1970,0.7142857142857143,2680.983252296056,268.0983252296056,True
D00046,2015,rf_profundo,base_min_cost_capacity,2015-11,7237,19,13,1896,0.6842105263157895,2637.833356363134,263.7833356363134,True
D00046,2015,rf_profundo,base_min_cost_capacity,2015-12,7653,31,17,1974,0.5483870967741935,2601.594146086502,260.1594146086502,True
D00049,2015,rf_profundo,f1_same_model_reference,2015-01,7381,0,0,1140,,1544.5061644763582,154.4506164476358,True
D00049,2015,rf_profundo,f1_same_model_reference,2015-02,6529,0,0,866,,1326.3899525195282,132.63899525195282,True
D00049,2015,rf_profundo,f1_same_model_reference,2015-03,7599,1,0,1102,0.0,1450.190814580866,145.0190814580866,True
D00049,2015,rf_profundo,f1_same_model_reference,2015-04,7210,20,7,985,0.35,1375.866851595007,137.5866851595007,True
D00049,2015,rf_profundo,f1_same_model_reference,2015-05,7505,16,7,1042,0.4375,1397.7348434377082,139.7734843437708,True
D00049,2015,rf_profundo,f1_same_model_reference,2015-06,7427,20,9,1027,0.45,1394.9104618284637,139.49104618284636,True
D00049,2015,rf_profundo,f1_same_model_reference,2015-07,7406,27,12,1064,0.4444444444444444,1452.8760464488253,145.28760464488252,True
D00049,2015,rf_profundo,f1_same_model_reference,2015-08,7473,21,15,1121,0.7142857142857143,1520.1391676702797,152.01391676702798,True
D00049,2015,rf_profundo,f1_same_model_reference,2015-09,7246,14,8,1001,0.5714285714285714,1392.4924096052994,139.24924096052993,True
D00049,2015,rf_profundo,f1_same_model_reference,2015-10,7404,21,13,1114,0.6190476190476191,1522.15018908698,152.21501890869797,True
D00049,2015,rf_profundo,f1_same_model_reference,2015-11,7237,19,10,1033,0.5263157894736842,1441.2049191654,144.12049191653998,True
D00049,2015,rf_profundo,f1_same_model_reference,2015-12,7653,31,10,1099,0.3225806451612903,1449.1049261727428,144.9104926172743,True
D00121,2016,rf_variables_revisadas,base_min_cost_capacity,2016-01,7442,43,30,21,0.6976744186046512,68.52996506315506,6.852996506315506,True
D00121,2016,rf_variables_revisadas,base_min_cost_capacity,2016-02,6710,14,11,17,0.7857142857142857,41.72876304023845,4.172876304023845,False
D00121,2016,rf_variables_revisadas,base_min_cost_capacity,2016-03,7481,19,13,18,0.6842105263157895,41.43831038631199,4.143831038631199,False
