decision_id,evaluation_year,policy,candidate,hourly_review_cost,review_cost,avoidable_fraction,fn_cost,training_fraud_positive_exposure_mean,capacity_per_10000,cost_method,threshold,validation_tp,validation_fp,validation_fn,validation_tn,validation_rows,validation_alerts,validation_recall,validation_precision,validation_f1,validation_alerts_per_10000,validation_fn_positive_exposure,validation_cost,is_base
D00001,2015,cost_sensitivity,rf_profundo,15,1.5,0.25,31.41896799116998,125.67587196467991,10,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,685.5414238410597,False
D00002,2015,cost_sensitivity,rf_profundo,15,1.5,0.25,31.41896799116998,125.67587196467991,25,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,685.5414238410597,False
D00003,2015,cost_sensitivity,rf_profundo,15,1.5,0.25,31.41896799116998,125.67587196467991,50,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,685.5414238410597,False
D00004,2015,cost_sensitivity,rf_profundo,15,1.5,0.25,31.41896799116998,125.67587196467991,100,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,685.5414238410597,False
D00005,2015,cost_sensitivity,rf_profundo,15,1.5,0.25,31.41896799116998,125.67587196467991,250,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,685.5414238410597,False
D00006,2015,cost_sensitivity,rf_profundo,15,1.5,0.5,62.83793598233996,125.67587196467991,10,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,1251.0828476821193,False
D00007,2015,cost_sensitivity,rf_profundo,15,1.5,0.5,62.83793598233996,125.67587196467991,25,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,1251.0828476821193,False
D00008,2015,cost_sensitivity,rf_profundo,15,1.5,0.5,62.83793598233996,125.67587196467991,50,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,1251.0828476821193,False
D00009,2015,cost_sensitivity,rf_profundo,15,1.5,0.5,62.83793598233996,125.67587196467991,100,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,1251.0828476821193,False
D00010,2015,cost_sensitivity,rf_profundo,15,1.5,0.5,62.83793598233996,125.67587196467991,250,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,1251.0828476821193,False
D00011,2015,cost_sensitivity,rf_profundo,15,1.5,1.0,125.67587196467991,125.67587196467991,10,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,2382.1656953642387,False
D00012,2015,cost_sensitivity,rf_profundo,15,1.5,1.0,125.67587196467991,125.67587196467991,25,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,2382.1656953642387,False
D00013,2015,cost_sensitivity,r1_sin_balanceo,15,1.5,1.0,125.67587196467991,125.67587196467991,50,fixed_training_mean,0.016519726771066157,40.0,371.0,13.0,86239.0,86663.0,411.0,0.7547169811320755,0.09732360097323602,0.1724137931034483,47.425083368911764,1148.7699999999977,2250.286335540839,False
D00014,2015,cost_sensitivity,rf_profundo,15,1.5,1.0,125.67587196467991,125.67587196467991,100,fixed_training_mean,0.03,41.0,452.0,12.0,86158.0,86663.0,493.0,0.7735849056603774,0.08316430020283976,0.15018315018315018,56.88702214324452,956.5099999999984,2247.610463576159,False
D00015,2015,cost_sensitivity,rf_profundo,15,1.5,1.0,125.67587196467991,125.67587196467991,250,fixed_training_mean,0.03,41.0,452.0,12.0,86158.0,86663.0,493.0,0.7735849056603774,0.08316430020283976,0.15018315018315018,56.88702214324452,956.5099999999984,2247.610463576159,False
D00016,2015,cost_sensitivity,rf_profundo,30,3.0,0.25,31.41896799116998,125.67587196467991,10,fixed_training_mean,0.185,32.0,13.0,21.0,86597.0,86663.0,45.0,0.6037735849056604,0.7111111111111111,0.6530612244897959,5.192527376158222,1784.619999999999,794.7983278145696,False
D00017,2015,cost_sensitivity,rf_profundo,30,3.0,0.25,31.41896799116998,125.67587196467991,25,fixed_training_mean,0.185,32.0,13.0,21.0,86597.0,86663.0,45.0,0.6037735849056604,0.7111111111111111,0.6530612244897959,5.192527376158222,1784.619999999999,794.7983278145696,False
D00018,2015,cost_sensitivity,rf_profundo,30,3.0,0.25,31.41896799116998,125.67587196467991,50,fixed_training_mean,0.185,32.0,13.0,21.0,86597.0,86663.0,45.0,0.6037735849056604,0.7111111111111111,0.6530612244897959,5.192527376158222,1784.619999999999,794.7983278145696,False
D00019,2015,cost_sensitivity,rf_profundo,30,3.0,0.25,31.41896799116998,125.67587196467991,100,fixed_training_mean,0.185,32.0,13.0,21.0,86597.0,86663.0,45.0,0.6037735849056604,0.7111111111111111,0.6530612244897959,5.192527376158222,1784.619999999999,794.7983278145696,False
