threshold,tp,fp,fn,tn,alerts,rows,recall,precision,f1,alerts_per_10000,fn_positive_exposure,evaluation_year,candidate,review_cost,fn_cost,review_hours_per_10000,cost,saving_vs_no_alert,additional_tp,additional_alerts,break_even_loss_per_added_fraud
1.0000000000000002,0,0,53,86610,0,86663,0.0,0.0,0.0,0.0,5480.449999999999,2015,rf_profundo,3.0,62.83793598233996,0.0,3330.4106070640178,0.0,,,
0.865,1,0,52,86610,1,86663,0.018867924528301886,1.0,0.037037037037037035,0.11538949724796049,5463.979999999999,2015,rf_profundo,3.0,62.83793598233996,0.01153894972479605,3270.572671081678,59.83793598233996,1.0,1.0,3.0
0.855,2,0,51,86610,2,86663,0.03773584905660377,1.0,0.07272727272727272,0.23077899449592099,5445.749999999999,2015,rf_profundo,3.0,62.83793598233996,0.0230778994495921,3210.7347350993377,119.67587196467991,1.0,1.0,3.0
0.845,3,0,50,86610,3,86663,0.05660377358490566,1.0,0.10714285714285714,0.3461684917438815,5432.789999999999,2015,rf_profundo,3.0,62.83793598233996,0.03461684917438815,3150.896799116998,179.51380794701987,1.0,1.0,3.0
0.84,6,0,47,86610,6,86663,0.11320754716981132,1.0,0.2033898305084746,0.692336983487763,5379.909999999999,2015,rf_profundo,3.0,62.83793598233996,0.0692336983487763,2971.382991169978,359.02761589403974,3.0,3.0,3.0
0.835,8,0,45,86610,8,86663,0.1509433962264151,1.0,0.26229508196721313,0.9231159779836839,5204.309999999999,2015,rf_profundo,3.0,62.83793598233996,0.0923115977983684,2851.707119205298,478.70348785871965,2.0,2.0,3.0
0.83,12,0,41,86610,12,86663,0.22641509433962265,1.0,0.36923076923076925,1.384673966975526,4907.719999999999,2015,rf_profundo,3.0,62.83793598233996,0.1384673966975526,2612.355375275938,718.0552317880795,4.0,4.0,3.0
0.815,13,0,40,86610,13,86663,0.24528301886792453,1.0,0.3939393939393939,1.5000634642234865,4805.709999999999,2015,rf_profundo,3.0,62.83793598233996,0.15000634642234864,2552.5174392935983,777.8931677704195,1.0,1.0,3.0
0.795,14,0,39,86610,14,86663,0.2641509433962264,1.0,0.417910447761194,1.6154529614714468,4632.999999999999,2015,rf_profundo,3.0,62.83793598233996,0.1615452961471447,2492.6795033112585,837.7311037527594,1.0,1.0,3.0
0.75,16,0,37,86610,16,86663,0.3018867924528302,1.0,0.463768115942029,1.8462319559673679,4589.479999999999,2015,rf_profundo,3.0,62.83793598233996,0.1846231955967368,2373.0036313465785,957.4069757174393,2.0,2.0,3.0
0.745,17,0,36,86610,17,86663,0.32075471698113206,1.0,0.4857142857142857,1.9616214532153284,4529.559999999999,2015,rf_profundo,3.0,62.83793598233996,0.19616214532153284,2313.1656953642387,1017.2449116997793,1.0,1.0,3.0
0.71,18,0,35,86610,18,86663,0.33962264150943394,1.0,0.5070422535211268,2.077010950463289,4455.919999999998,2015,rf_profundo,3.0,62.83793598233996,0.2077010950463289,2253.3277593818984,1077.0828476821193,1.0,1.0,3.0
0.695,21,0,32,86610,21,86663,0.39622641509433965,1.0,0.5675675675675675,2.42317944220717,3997.0599999999986,2015,rf_profundo,3.0,62.83793598233996,0.24231794422071704,2073.8139514348786,1256.5966556291391,3.0,3.0,3.0
0.635,22,0,31,86610,22,86663,0.41509433962264153,1.0,0.5866666666666667,2.5385689394551307,3997.0599999999986,2015,rf_profundo,3.0,62.83793598233996,0.2538568939455131,2013.9760154525386,1316.434591611479,1.0,1.0,3.0
0.565,23,0,30,86610,23,86663,0.4339622641509434,1.0,0.6052631578947368,2.6539584367030913,3546.9199999999987,2015,rf_profundo,3.0,62.83793598233996,0.26539584367030916,1954.1380794701986,1376.272527593819,1.0,1.0,3.0
0.525,24,0,29,86610,24,86663,0.4528301886792453,1.0,0.6233766233766234,2.769347933951052,3414.1899999999987,2015,rf_profundo,3.0,62.83793598233996,0.2769347933951052,1894.3001434878588,1436.110463576159,1.0,1.0,3.0
0.465,25,0,28,86610,25,86663,0.4716981132075472,1.0,0.6410256410256411,2.8847374311990124,3342.1299999999987,2015,rf_profundo,3.0,62.83793598233996,0.28847374311990126,1834.4622075055188,1495.948399558499,1.0,1.0,3.0
0.39,27,0,26,86610,27,86663,0.5094339622641509,1.0,0.675,3.115516425694933,2450.259999999999,2015,rf_profundo,3.0,62.83793598233996,0.3115516425694933,1714.786335540839,1615.6242715231788,2.0,2.0,3.0
0.325,28,1,25,86609,29,86663,0.5283018867924528,0.9655172413793104,0.6829268292682927,3.346295420190854,2383.039999999999,2015,rf_profundo,3.0,62.83793598233996,0.3346295420190854,1657.948399558499,1672.4622075055188,1.0,2.0,6.0
0.265,29,3,24,86607,32,86663,0.5471698113207547,0.90625,0.6823529411764706,3.6924639119347358,2382.869999999999,2015,rf_profundo,3.0,62.83793598233996,0.3692463911934736,1604.110463576159,1726.3001434878588,1.0,3.0,9.0
0.225,30,9,23,86601,39,86663,0.5660377358490566,0.7692307692307693,0.6521739130434783,4.500190392670459,2066.599999999999,2015,rf_profundo,3.0,62.83793598233996,0.4500190392670459,1562.272527593819,1768.1380794701986,1.0,7.0,21.0
0.205,31,12,22,86598,43,86663,0.5849056603773585,0.7209302325581395,0.6458333333333334,4.961748381662301,2066.419999999999,2015,rf_profundo,3.0,62.83793598233996,0.49617483816623015,1511.434591611479,1818.9760154525386,1.0,4.0,12.0
0.185,32,13,21,86597,45,86663,0.6037735849056604,0.7111111111111111,0.6530612244897959,5.192527376158222,1784.619999999999,2015,rf_profundo,3.0,62.83793598233996,0.5192527376158222,1454.5966556291391,1875.8139514348786,1.0,2.0,6.0
0.125,33,29,20,86581,62,86663,0.6226415094339622,0.532258064516129,0.5739130434782609,7.1541488293735505,1620.0899999999988,2015,rf_profundo,3.0,62.83793598233996,0.715414882937355,1442.7587196467991,1887.6518874172184,1.0,17.0,51.0
0.105,34,40,19,86570,74,86663,0.6415094339622641,0.4594594594594595,0.5354330708661418,8.538822796349077,1574.9599999999987,2015,rf_profundo,3.0,62.83793598233996,0.8538822796349077,1415.9207836644591,1914.4898233995586,1.0,12.0,36.0
0.1,35,45,18,86565,80,86663,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,2015,rf_profundo,3.0,62.83793598233996,0.9231159779836839,1371.0828476821193,1959.3277593818984,1.0,6.0,18.0
0.06,36,132,17,86478,168,86663,0.6792452830188679,0.21428571428571427,0.3257918552036199,19.38543553765736,1442.179999999999,2015,rf_profundo,3.0,62.83793598233996,1.9385435537657363,1572.2449116997793,1758.1656953642387,1.0,88.0,264.0
0.045,37,220,16,86390,257,86663,0.6981132075471698,0.14396887159533073,0.23870967741935484,29.655100792725847,1336.5999999999985,2015,rf_profundo,3.0,62.83793598233996,2.9655100792725846,1776.4069757174393,1554.0036313465785,1.0,89.0,267.0
0.04,38,277,15,86333,315,86663,0.7169811320754716,0.12063492063492064,0.20652173913043478,36.34769163310755,1114.0299999999988,2015,rf_profundo,3.0,62.83793598233996,3.634769163310755,1887.5690397350993,1442.8415673289182,1.0,58.0,174.0
0.035,39,350,14,86260,389,86663,0.7358490566037735,0.10025706940874037,0.17647058823529413,44.88651442945663,1103.4699999999984,2015,rf_profundo,3.0,62.83793598233996,4.488651442945663,2046.7311037527593,1283.6795033112585,1.0,74.0,222.0
0.03,41,452,12,86158,493,86663,0.7735849056603774,0.08316430020283976,0.15018315018315018,56.88702214324452,956.5099999999984,2015,rf_profundo,3.0,62.83793598233996,5.6887022143244526,2233.0552317880793,1097.355375275938,2.0,104.0,156.0
0.025,42,621,11,85989,663,86663,0.7924528301886793,0.06334841628959276,0.11731843575418995,76.5032366753978,844.7199999999984,2015,rf_profundo,3.0,62.83793598233996,7.65032366753978,2680.2172958057395,650.1933112582783,1.0,170.0,510.0
0.02,43,860,10,85750,903,86663,0.8113207547169812,0.047619047619047616,0.0899581589958159,104.19671601490832,838.699999999998,2015,rf_profundo,3.0,62.83793598233996,10.419671601490831,3337.3793598233997,-6.968752759381914,1.0,240.0,720.0
0.01,45,2431,8,84179,2476,86663,0.8490566037735849,0.018174474959612278,0.03558718861209965,285.70439518595015,748.1899999999978,2015,rf_profundo,3.0,62.83793598233996,28.570439518595016,7930.70348785872,-4600.292880794702,2.0,1573.0,2359.5
0.005,47,6540,6,80070,6587,86663,0.8867924528301887,0.007135266433884925,0.014156626506024096,760.0706183723157,418.54999999999745,2015,rf_profundo,3.0,62.83793598233996,76.00706183723156,20138.02761589404,-16807.61700883002,2.0,4111.0,6166.5
0.0,53,86610,0,0,86663,86663,1.0,0.0006115643354141906,0.0012223811061395822,10000.0,0.0,2015,rf_profundo,3.0,62.83793598233996,1000.0,259989.0,-256658.58939293597,6.0,80076.0,40038.0
1.0000000000000002,0,0,133,44286,0,44419,0.0,0.0,0.0,0.0,20089.88,2016,rf_variables_revisadas,3.0,62.46345470692718,0.0,8307.639476021315,0.0,,,
0.5610797287185065,1,0,132,44286,1,44419,0.007518796992481203,1.0,0.014925373134328358,0.22512888628739955,19961.440000000002,2016,rf_variables_revisadas,3.0,62.46345470692718,0.022512888628739954,8248.176021314388,59.46345470692718,1.0,1.0,3.0
0.4835532571036061,2,0,131,44286,2,44419,0.015037593984962405,1.0,0.02962962962962963,0.4502577725747991,19735.59,2016,rf_variables_revisadas,3.0,62.46345470692718,0.04502577725747991,8188.712566607461,118.92690941385436,1.0,1.0,3.0
