evaluation_year,candidate,policy,threshold,fn_cost,validation_cost,validation_tp,validation_fp,validation_recall,tp,fp,fn,tn,recall,precision,f1,average_precision,roc_auc,alerts_per_10000,cost
2015,isolation_forest,costo_capacidad_50,1.0000000000000002,62.83793598233996,3330.4106070640178,0,0,0.0,0,0,190,87880,0.0,0.0,0.0,0.007893466079236586,0.7512235584409362,0.0,11939.207836644591
2015,isolation_forest,f1_validacion,0.3928300654138631,62.83793598233996,3795.7347350993377,2,195,0.03773584905660377,5,337,185,87543,0.02631578947368421,0.014619883040935672,0.018796992481203006,0.007893466079236586,0.7512235584409362,38.83274667877824,12651.018156732893
2015,rf_actualizado,costo_capacidad_50,0.04657407529033145,62.83793598233996,1457.9207836644591,34,54,0.6415094339622641,111,20848,79,67032,0.5842105263157895,0.005296054201059211,0.01049695021041184,0.3758950793807245,0.8022092326857198,2379.811513568752,67841.19694260486
2015,rf_actualizado,f1_validacion,0.164467250955841,62.83793598233996,1780.6242715231788,26,2,0.49056603773584906,82,7748,108,80132,0.43157894736842106,0.010472541507024266,0.020448877805486283,0.3758950793807245,0.8022092326857198,889.065516066765,30276.497086092713
2016,isolation_forest,costo_capacidad_50,1.0000000000000002,62.46345470692718,8307.639476021315,0,0,0.0,0,0,226,87559,0.0,0.0,0.0,0.006166016191662942,0.6847230292353059,0.0,14116.740763765543
2016,isolation_forest,f1_validacion,0.38776225971031336,62.46345470692718,9676.078019538189,12,694,0.09022556390977443,21,1652,205,85907,0.09292035398230089,0.012552301255230125,0.022116903633491312,0.006166016191662942,0.6847230292353059,190.5792561371533,17824.00821492007
2016,rf_actualizado,costo_capacidad_50,0.03005134307834322,62.46345470692718,3720.7092806394317,84,136,0.631578947368421,140,234,86,87325,0.6194690265486725,0.37433155080213903,0.4666666666666667,0.5578911773885354,0.9337622864057177,42.60408953693683,6493.8571047957375
2016,rf_actualizado,f1_validacion,0.09211766818463463,62.46345470692718,4115.734191829485,71,10,0.5338345864661654,110,32,116,87527,0.48672566371681414,0.7746478873239436,0.5978260869565217,0.5578911773885354,0.9337622864057177,16.175884262687248,7671.760746003553
2019,isolation_forest,costo_capacidad_50,1.0000000000000002,64.35695738354806,4440.630059464816,0,0,0.0,0,0,123,73325,0.0,0.0,0.0,0.0018552163290711696,0.5181579946723436,0.0,7915.905758176412
2019,isolation_forest,f1_validacion,0.38169529843729477,64.35695738354806,6682.488315163528,6,870,0.08695652173913043,4,1547,119,71778,0.032520325203252036,0.0025789813023855577,0.0047789725209080045,0.0018552163290711696,0.5181579946723436,211.16980721054352,12311.47792864222
2019,rf_actualizado,costo_capacidad_50,0.02046171411871807,64.35695738354806,3860.6326560951434,14,93,0.2028985507246377,12,160,111,73165,0.0975609756097561,0.06976744186046512,0.08135593220338982,0.02181822089145973,0.7225186897624175,23.41792833024725,7659.622269573835
2019,rf_actualizado,f1_validacion,0.02255511223091145,64.35695738354806,3867.9896134786914,13,75,0.18840579710144928,11,131,112,73194,0.08943089430894309,0.07746478873239436,0.0830188679245283,0.02181822089145973,0.7225186897624175,19.33340594706459,7633.979226957383
