evaluation_year,strategy,cost_fn,threshold,tp,fp,fn,tn,alerts,rows,precision,recall,f1,alerts_per_10000,cost
2015,sin_balanceo,5,0.164467250955841,26.0,2.0,27.0,86608.0,28.0,86663.0,0.9285714285714286,0.49056603773584906,0.6419753086419753,3.2309059229428936,137.0
2015,sin_balanceo,10,0.04657407529033146,34.0,54.0,19.0,86556.0,88.0,86663.0,0.38636363636363635,0.6415094339622641,0.48226950354609927,10.154275757820525,244.0
2015,sin_balanceo,25,0.04657407529033146,34.0,54.0,19.0,86556.0,88.0,86663.0,0.38636363636363635,0.6415094339622641,0.48226950354609927,10.154275757820525,529.0
2016,sin_balanceo,5,0.29884679655198515,56.0,0.0,134.0,87880.0,56.0,88070.0,1.0,0.29473684210526313,0.45528455284552843,6.358578403542637,670.0
2019,sin_balanceo,5,0.27808460407357033,2.0,2.0,134.0,87908.0,4.0,88046.0,0.5,0.014705882352941176,0.02857142857142857,0.45430797537650774,672.0
2015,sin_balanceo,50,0.03486747089269901,35.0,94.0,18.0,86516.0,129.0,86663.0,0.2713178294573643,0.660377358490566,0.38461538461538464,14.885245144986904,994.0
2016,submuestreo,10,0.5375463996969455,104.0,382.0,86.0,87498.0,486.0,88070.0,0.2139917695473251,0.5473684210526316,0.3076923076923077,55.18337685931645,1242.0
2019,sin_balanceo,10,0.12882591455025527,3.0,9.0,133.0,87901.0,12.0,88046.0,0.25,0.022058823529411766,0.04054054054054054,1.3629239261295232,1339.0
2015,sin_balanceo,100,0.016519726771066157,40.0,371.0,13.0,86239.0,411.0,86663.0,0.09732360097323602,0.7547169811320755,0.1724137931034483,47.42508336891176,1671.0
2016,pesos_clase,25,0.5583903761054154,123.0,717.0,67.0,87163.0,840.0,88070.0,0.14642857142857144,0.6473684210526316,0.23883495145631067,95.37867605313956,2392.0
2019,sin_balanceo,25,0.02856111960347755,11.0,112.0,125.0,87798.0,123.0,88046.0,0.08943089430894309,0.08088235294117647,0.08494208494208494,13.969970242827612,3237.0
2016,pesos_clase,50,0.49283468672465014,145.0,1568.0,45.0,86312.0,1713.0,88070.0,0.0846468184471687,0.7631578947368421,0.15239096163951654,194.50437152265243,3818.0
2016,pesos_clase,100,0.49283468672465014,145.0,1568.0,45.0,86312.0,1713.0,88070.0,0.0846468184471687,0.7631578947368421,0.15239096163951654,194.50437152265243,6068.0
2019,sin_balanceo,50,0.01667617505728373,16.0,281.0,120.0,87629.0,297.0,88046.0,0.05387205387205387,0.11764705882352941,0.07390300230946882,33.7323671717057,6281.0
2019,sin_balanceo,100,0.012534672098943234,21.0,536.0,115.0,87374.0,557.0,88046.0,0.03770197486535009,0.15441176470588236,0.06060606060606061,63.262385571178704,12036.0
