evaluation_year,strategy,cost_fn,threshold_validacion,tp_validacion,fp_validacion,fn_validacion,tn_validacion,alerts_validacion,rows_validacion,precision_validacion,recall_validacion,f1_validacion,alerts_per_10000_validacion,cost_validacion,policy,cost_fp,threshold_evaluacion,tp_evaluacion,fp_evaluacion,fn_evaluacion,tn_evaluacion,rows_evaluacion,precision_evaluacion,recall_evaluacion,f1_evaluacion,alerts_evaluacion,alerts_per_10000_evaluacion,fp_per_10000,cost_evaluacion,cost_per_10000,average_precision,roc_auc
2015,sin_balanceo,5,0.164467250955841,26.0,2.0,27.0,86608.0,28.0,86663.0,0.9285714285714286,0.49056603773584906,0.6419753086419753,3.2309059229428936,137.0,costo,1,0.164467250955841,82,7748,108,80132,88070,0.010472541507024266,0.43157894736842106,0.020448877805486283,7830,889.0655160667651,879.7547405472919,8288,941.0696037243102,0.3758950793807244,0.8022092326857198
2015,sin_balanceo,10,0.04657407529033146,34.0,54.0,19.0,86556.0,88.0,86663.0,0.38636363636363635,0.6415094339622641,0.48226950354609927,10.154275757820525,244.0,costo,1,0.04657407529033146,111,20848,79,67032,88070,0.005296054201059211,0.5842105263157895,0.01049695021041184,20959,2379.811513568752,2367.2079028045873,21638,2456.9092767117063,0.3758950793807244,0.8022092326857198
2015,sin_balanceo,25,0.04657407529033146,34.0,54.0,19.0,86556.0,88.0,86663.0,0.38636363636363635,0.6415094339622641,0.48226950354609927,10.154275757820525,529.0,costo,1,0.04657407529033146,111,20848,79,67032,88070,0.005296054201059211,0.5842105263157895,0.01049695021041184,20959,2379.811513568752,2367.2079028045873,22823,2591.4613375723857,0.3758950793807244,0.8022092326857198
2015,sin_balanceo,50,0.03486747089269901,35.0,94.0,18.0,86516.0,129.0,86663.0,0.2713178294573643,0.660377358490566,0.38461538461538464,14.885245144986904,994.0,costo,1,0.03486747089269901,118,22432,72,65448,88070,0.005232815964523282,0.6210526315789474,0.010378188214599824,22550,2560.463267855115,2547.0648347905076,26032,2955.830589303963,0.3758950793807244,0.8022092326857198
2015,sin_balanceo,100,0.016519726771066157,40.0,371.0,13.0,86239.0,411.0,86663.0,0.09732360097323602,0.7547169811320755,0.1724137931034483,47.42508336891176,1671.0,costo,1,0.016519726771066157,126,24658,64,63222,88070,0.005083925112976113,0.6631578947368421,0.010090494113878433,24784,2814.1251277392985,2799.818326331327,31058,3526.513001021914,0.3758950793807244,0.8022092326857198
2016,sin_balanceo,5,0.29884679655198515,56.0,0.0,134.0,87880.0,56.0,88070.0,1.0,0.29473684210526313,0.45528455284552843,6.358578403542637,670.0,costo,1,0.29884679655198515,73,3,153,87556,87785,0.9605263157894737,0.3230088495575221,0.48344370860927155,76,8.657515520874865,0.3417440337187447,768,87.48647263199862,0.3288894059747025,0.8073729703571813
2016,submuestreo,10,0.5375463996969455,104.0,382.0,86.0,87498.0,486.0,88070.0,0.2139917695473251,0.5473684210526316,0.3076923076923077,55.18337685931645,1242.0,costo,1,0.5375463996969455,112,382,114,87177,87785,0.22672064777327935,0.49557522123893805,0.3111111111111111,494,56.27385088568662,43.51540696018682,1522,173.3781397733098,0.27891757591314936,0.9157471265645708
2016,pesos_clase,25,0.5583903761054154,123.0,717.0,67.0,87163.0,840.0,88070.0,0.14642857142857144,0.6473684210526316,0.23883495145631067,95.37867605313956,2392.0,costo,1,0.5583903761054154,149,600,77,86959,87785,0.19893190921228304,0.6592920353982301,0.30564102564102563,749,85.32209375177992,68.34880674374894,2525,287.63456171327675,0.24991894423517483,0.9143910750647326
2016,pesos_clase,50,0.49283468672465014,145.0,1568.0,45.0,86312.0,1713.0,88070.0,0.0846468184471687,0.7631578947368421,0.15239096163951654,194.50437152265243,3818.0,costo,1,0.49283468672465014,169,1339,57,86220,87785,0.11206896551724138,0.7477876106194691,0.19492502883506344,1508,171.78333428262232,152.53175371646637,4189,477.1885857492738,0.24991894423517483,0.9143910750647326
2016,pesos_clase,100,0.49283468672465014,145.0,1568.0,45.0,86312.0,1713.0,88070.0,0.0846468184471687,0.7631578947368421,0.15239096163951654,194.50437152265243,6068.0,costo,1,0.49283468672465014,169,1339,57,86220,87785,0.11206896551724138,0.7477876106194691,0.19492502883506344,1508,171.78333428262232,152.53175371646637,7039,801.8454177820812,0.24991894423517483,0.9143910750647326
2019,sin_balanceo,5,0.27808460407357033,2.0,2.0,134.0,87908.0,4.0,88046.0,0.5,0.014705882352941176,0.02857142857142857,0.45430797537650774,672.0,costo,1,0.27808460407357033,0,1,123,73324,73448,0.0,0.0,0.0,1,0.13615074610608865,0.13615074610608865,616,83.86885960135062,0.0120375294427629,0.671539171579919
2019,sin_balanceo,10,0.12882591455025527,3.0,9.0,133.0,87901.0,12.0,88046.0,0.25,0.022058823529411766,0.04054054054054054,1.3629239261295232,1339.0,costo,1,0.12882591455025527,1,9,122,73316,73448,0.1,0.008130081300813009,0.015037593984962405,10,1.3615074610608866,1.225356714954798,1229,167.32926696438298,0.0120375294427629,0.671539171579919
