year,rows,frauds,non_frauds,prevalence,first_date,last_date
2010,78323,249,78074,0.003179142780537007,2010-01-01 00:14:00,2010-12-31 23:33:00
2011,81522,3,81519,3.679988224037683e-05,2011-01-01 00:06:00,2011-12-31 23:30:00
2012,83557,98,83459,0.001172852065057386,2012-01-01 01:11:00,2012-12-31 23:54:00
2013,85988,103,85885,0.0011978415592873424,2013-01-01 00:00:00,2013-12-31 23:59:00
2014,86663,53,86610,0.0006115643354141906,2014-01-01 00:54:00,2014-12-31 23:55:00
2015,88070,190,87880,0.00215737481548768,2015-01-01 00:52:00,2015-12-31 23:07:00
2016,87785,226,87559,0.0025744717206812096,2016-01-01 00:13:00,2016-12-31 23:52:00
2017,88319,20,88299,0.00022645183935506515,2017-01-01 00:07:00,2017-12-31 23:16:00
2018,88046,136,87910,0.0015446471162801263,2018-01-01 00:20:00,2018-12-31 23:48:00
2019,73448,123,73325,0.0016746541771048905,2019-01-01 00:05:00,2019-10-31 23:57:00
