evaluation_year,candidate,round,cost_fn,capacity_per_10000,threshold,validation_tp,validation_fp,validation_fn,validation_cost,validation_alerts_per_10000,tp,fp,fn,tn,rows,precision,recall,f1,alerts,alerts_per_10000,fp_per_10000,cost
2015,r1_sin_balanceo,R1_rethresholded_common_validation,5,10,0.16446725095584097,26.0,2.0,27.0,137,3.2309059229428936,82,7748,108,80132,88070,0.010472541507024266,0.43157894736842106,0.020448877805486283,7830,889.0655160667651,879.7547405472919,8288
2015,r1_sin_balanceo,R1_rethresholded_common_validation,5,25,0.16446725095584097,26.0,2.0,27.0,137,3.2309059229428936,82,7748,108,80132,88070,0.010472541507024266,0.43157894736842106,0.020448877805486283,7830,889.0655160667651,879.7547405472919,8288
2015,r1_sin_balanceo,R1_rethresholded_common_validation,5,50,0.16446725095584097,26.0,2.0,27.0,137,3.2309059229428936,82,7748,108,80132,88070,0.010472541507024266,0.43157894736842106,0.020448877805486283,7830,889.0655160667651,879.7547405472919,8288
2015,r1_sin_balanceo,R1_rethresholded_common_validation,5,100,0.16446725095584097,26.0,2.0,27.0,137,3.2309059229428936,82,7748,108,80132,88070,0.010472541507024266,0.43157894736842106,0.020448877805486283,7830,889.0655160667651,879.7547405472919,8288
2015,r1_sin_balanceo,R1_rethresholded_common_validation,5,250,0.16446725095584097,26.0,2.0,27.0,137,3.2309059229428936,82,7748,108,80132,88070,0.010472541507024266,0.43157894736842106,0.020448877805486283,7830,889.0655160667651,879.7547405472919,8288
2015,r1_sin_balanceo,R1_rethresholded_common_validation,10,10,0.05666452451635858,32.0,36.0,21.0,246,7.846485812861313,102,20103,88,67777,88070,0.005048255382331106,0.5368421052631579,0.010002451581269918,20205,2294.1977972067675,2282.616100828886,20983
2015,r1_sin_balanceo,R1_rethresholded_common_validation,10,25,0.04657407529033146,34.0,54.0,19.0,244,10.154275757820525,111,20848,79,67032,88070,0.005296054201059211,0.5842105263157895,0.01049695021041184,20959,2379.811513568752,2367.2079028045873,21638
2015,r1_sin_balanceo,R1_rethresholded_common_validation,10,50,0.04657407529033146,34.0,54.0,19.0,244,10.154275757820525,111,20848,79,67032,88070,0.005296054201059211,0.5842105263157895,0.01049695021041184,20959,2379.811513568752,2367.2079028045873,21638
2015,r1_sin_balanceo,R1_rethresholded_common_validation,10,100,0.04657407529033146,34.0,54.0,19.0,244,10.154275757820525,111,20848,79,67032,88070,0.005296054201059211,0.5842105263157895,0.01049695021041184,20959,2379.811513568752,2367.2079028045873,21638
2015,r1_sin_balanceo,R1_rethresholded_common_validation,10,250,0.04657407529033146,34.0,54.0,19.0,244,10.154275757820525,111,20848,79,67032,88070,0.005296054201059211,0.5842105263157895,0.01049695021041184,20959,2379.811513568752,2367.2079028045873,21638
