evaluation_year,candidate,capacity_validation_per_10000,threshold,validation_tp,validation_fp,validation_recall,validation_alerts_per_10000,tp,fp,fn,tn,recall,precision,alerts,alerts_per_10000,cost_fn10,cost_fn100
2015,r1_pesos_clase,10,0.7397769367966599,10,72,0.18867924528301888,9.46193877433276,43,66,147,87814,0.22631578947368422,0.3944954128440367,109,12.37651867832406,1536,14766
2015,r1_pesos_clase,25,0.6790446621621683,16,174,0.3018867924528302,21.924004477112494,65,163,125,87717,0.34210526315789475,0.2850877192982456,228,25.888497785852163,1413,12663
2015,r1_pesos_clase,50,0.6051404501238555,27,392,0.5094339622641509,48.34819934689544,95,361,95,87519,0.5,0.20833333333333334,456,51.776995571704326,1311,9861
2015,r1_pesos_clase,100,0.5351397678495335,37,746,0.6981132075471698,90.34997634515307,124,711,66,87169,0.6526315789473685,0.14850299401197606,835,94.81094583853752,1371,7311
2015,r1_pesos_clase,250,0.4181583124593206,44,1935,0.8301886792452831,228.3558150537138,149,2951,41,84929,0.7842105263157895,0.04806451612903226,3100,351.9927330532531,3361,7051
2015,r1_sin_balanceo,10,0.05199335280409059,33,46,0.6226415094339622,9.115770282588878,104,20494,86,67386,0.5473684210526316,0.005049033886785125,20598,2338.821392074486,21354,29094
2015,r1_sin_balanceo,25,0.03486747089269901,35,94,0.660377358490566,14.885245144986904,118,22432,72,65448,0.6210526315789474,0.005232815964523282,22550,2560.463267855115,23152,29632
2015,r1_sin_balanceo,50,0.016519726771066157,40,371,0.7547169811320755,47.42508336891176,126,24658,64,63222,0.6631578947368421,0.005083925112976113,24784,2814.1251277392985,25298,31058
2015,r1_sin_balanceo,100,0.014666496250101906,41,484,0.7735849056603774,60.57948605517925,128,24909,62,62971,0.6736842105263158,0.005112433598274554,25037,2842.8522765981606,25529,31109
2015,r1_sin_balanceo,250,0.008892138596922438,46,1793,0.8679245283018868,212.20128543899932,153,26936,37,60944,0.8052631578947368,0.005648049023588911,27089,3075.84875667083,27306,30636
2015,r1_smotenc,10,0.6588691626989197,8,57,0.1509433962264151,7.500317321117431,29,51,161,87829,0.15263157894736842,0.3625,80,9.083683433632338,1661,16151
2015,r1_smotenc,25,0.5768130043177482,18,150,0.33962264150943394,19.38543553765736,56,153,134,87727,0.29473684210526313,0.2679425837320574,209,23.73112297036448,1493,13553
2015,r1_smotenc,50,0.4891252344088401,28,371,0.5283018867924528,46.04040940193624,87,364,103,87516,0.45789473684210524,0.19290465631929046,451,51.2092653571023,1394,10664
