evaluation_year,candidate,train_start,train_end,train_rows,train_frauds,fit_seconds,model_sha256
2015,rf_actualizado,2010-01-01 00:14:00,2013-12-31 23:59:00,329390,453,20.877593479999632,5e4bf6260b8da40e60359461614fc63947e82e3a0f7514f479fd6f401115bed3
2015,rf_reciente_3a,2011-01-01 00:06:00,2013-12-31 23:59:00,251067,204,13.591953003997332,7b7e5c7e5ecf3d99e76234167e51a355690c757a331bcc62a195a5a9b2546ac7
2015,rf_profundo,2010-01-01 00:14:00,2013-12-31 23:59:00,329390,453,33.914263325998036,eba5cc54f03e710c26ded5233b90920082fc6dca33127c9a494a79fd3f31b9bf
2015,rf_reciente_profundo,2011-01-01 00:06:00,2013-12-31 23:59:00,251067,204,18.575462972999958,31fc845325cb7f808029811a6e45c49683dbe3c13b9a9cb123adc2700343f6ce
2015,rf_peso10_reciente,2011-01-01 00:06:00,2013-12-31 23:59:00,251067,204,15.633610259996203,00657b176d2761d7a73e725ae4e105ac41cf8688bd38f73def3d0b568b4f9bda
2015,rf_variables_revisadas,2010-01-01 00:14:00,2013-12-31 23:59:00,329390,453,16.60039688800316,890e800aa075c30672d96d0d02b34642f22eae65a76a323a443c2504220fedf2
2015,rf_revisado_reciente,2011-01-01 00:06:00,2013-12-31 23:59:00,251067,204,15.56854494700383,3cc39a0aa86c0402760ae886d02106eeaad8c0d4cd55f36fd4b10f65dbf86a38
2016,rf_actualizado,2010-01-01 00:14:00,2015-06-30 23:52:00,459704,563,27.554779787998996,4ff5e000a1da096ad81527ac47a594a7df71848c81f36cba3cbe352b0d0b39aa
2016,rf_reciente_3a,2012-07-01 00:50:00,2015-06-30 23:52:00,258565,230,14.89576392500021,8b935ce4fc80df10b63e6510e1ff3149b0031e302658768ccb0375d73abc9bc7
2016,rf_profundo,2010-01-01 00:14:00,2015-06-30 23:52:00,459704,563,51.50794817999849,083c6d4bf68e85884e75289826a0e2e113d5ff0e16cc4ad754503152758042e0
2016,rf_reciente_profundo,2012-07-01 00:50:00,2015-06-30 23:52:00,258565,230,23.128348746002303,cb6feafc7bf06e4496cf9b1a0b4fc614aa0a0da0e77901b465d6e6cc610ff904
2016,rf_peso10_reciente,2012-07-01 00:50:00,2015-06-30 23:52:00,258565,230,23.459008033998543,fd13c26dbf062695b92e0d64d9d2d8625802d13f6a7a6a62c05b8c62becbb919
2016,rf_variables_revisadas,2010-01-01 00:14:00,2015-06-30 23:52:00,459704,563,22.890276304002327,ace357f826f284f0a487b6e281f871a2642267597a3afd35d5fe64610c63bccb
2016,rf_revisado_reciente,2012-07-01 00:50:00,2015-06-30 23:52:00,258565,230,17.441938851006853,b16c6ab3851aa313bf21942faa872dcc5c88fb5f0214bcf97857d0985757f0ba
2019,rf_actualizado,2010-01-01 00:14:00,2018-06-30 23:25:00,723917,1009,46.2676719450028,f21fc6a7ac41dcd74e1e55130741e6727d340bb0e66eafa38e2ab5559423f4fe
2019,rf_reciente_3a,2015-07-01 00:10:00,2018-06-30 23:25:00,264213,446,17.518279800002347,8a1254c11a7da0a629cd0751f3b334acbe5aafc606920ce2386d7b06d57aeeb9
2019,rf_profundo,2010-01-01 00:14:00,2018-06-30 23:25:00,723917,1009,164.98251029600215,3c6c623ed8307881d3a7f05003b3d023ec27a3f5875c1c1e32eb5ee9dc194f2d
2019,rf_reciente_profundo,2015-07-01 00:10:00,2018-06-30 23:25:00,264213,446,34.089605380999274,31278cd93aa127c545925e1f2622722961635aa6502d8ec110a97766477effb1
2019,rf_peso10_reciente,2015-07-01 00:10:00,2018-06-30 23:25:00,264213,446,26.31903538399638,7c9ad110d076d3e9d653c3b87328ba460f5b8ce40d30fabb16b23ee22531e0cb
2019,rf_variables_revisadas,2010-01-01 00:14:00,2018-06-30 23:25:00,723917,1009,40.28926143600256,169b4e8ff25cf1930cd5b114725a484309a4e89a67b5f0a8d2225acf19fbab17
2019,rf_revisado_reciente,2015-07-01 00:10:00,2018-06-30 23:25:00,264213,446,22.026536773999396,3b4cc5690351c28a46493920796076a10a2a629b04c2992766124afa5091bbe6
