evaluation_year,candidate,capacity_validation_per_10000,threshold,validation_tp,validation_fp,validation_recall,validation_alerts_per_10000,tp,fp,fn,tn,recall,precision,alerts,alerts_per_10000,cost_fn10,cost_fn100
2015,rf_profundo,10,0.1,35,45,0.660377358490566,9.231159779836839,119,22882,71,64998,0.6263157894736842,0.005173688100517369,23001,2611.6725332122173,23592,29982
2015,rf_profundo,25,0.06,36,132,0.6792452830188679,19.38543553765736,127,23885,63,63995,0.6684210526315789,0.0052890221555888725,24012,2726.4675826047464,24515,30185
2015,r1_sin_balanceo,50,0.016519726771066157,40,371,0.7547169811320755,47.42508336891176,126,24658,64,63222,0.6631578947368421,0.005083925112976113,24784,2814.1251277392985,25298,31058
2015,rf_profundo,100,0.025,42,621,0.7924528301886793,76.50323667539782,142,26077,48,61803,0.7473684210526316,0.005415919752850986,26219,2977.063699330078,26557,30877
2015,r1_sin_balanceo,250,0.008892138596922438,46,1793,0.8679245283018868,212.20128543899932,153,26936,37,60944,0.8052631578947368,0.005648049023588911,27089,3075.84875667083,27306,30636
2016,rf_actualizado,10,0.23388382358654777,44,0,0.3308270676691729,9.90567099664558,62,4,164,87555,0.2743362831858407,0.9393939393939394,66,7.518368741812383,1644,16404
2016,rf_variables_revisadas,25,0.048107791790953695,82,21,0.6165413533834586,23.188275287602153,130,51,96,87508,0.5752212389380531,0.7182320441988951,181,20.61855670103093,1011,9651
2016,rf_variables_revisadas,50,0.017444595171504994,93,123,0.6992481203007519,48.627839438078304,155,231,71,87328,0.6858407079646017,0.4015544041450777,386,43.971065671811814,941,7331
2016,rf_variables_revisadas,100,0.01171670941011998,102,314,0.7669172932330827,93.65361669555821,167,566,59,86993,0.7389380530973452,0.22783083219645292,733,83.49945890527995,1156,6466
2016,rf_variables_revisadas,250,0.008048879805686738,112,873,0.8421052631578947,221.75195299308854,182,1688,44,85871,0.8053097345132744,0.09732620320855614,1870,213.02044768468417,2128,6088
2019,rf_variables_revisadas,10,0.04583877685873359,9,21,0.13043478260869565,6.763459283975111,4,37,119,73288,0.032520325203252036,0.0975609756097561,41,5.582180590349635,1227,11937
2019,rf_actualizado,25,0.02046171411871807,14,93,0.2028985507246377,24.123004779511227,12,160,111,73165,0.0975609756097561,0.06976744186046512,172,23.41792833024725,1270,11260
2019,rf_actualizado,50,0.014357903872303419,17,202,0.2463768115942029,49.37325277301831,17,347,106,72978,0.13821138211382114,0.046703296703296704,364,49.55887158261627,1407,10947
2019,rf_actualizado,100,0.010705705546586118,18,398,0.2608695652173913,93.78663540445486,21,682,102,72643,0.17073170731707318,0.029871977240398292,703,95.71397451258034,1702,10882
2019,rf_actualizado,250,0.007347273473527625,21,932,0.30434782608695654,214.85255658760934,28,1599,95,71726,0.22764227642276422,0.017209588199139522,1627,221.51726391460625,2549,11099
