evaluation_year,cost_fn,reference,context_variant,threshold_reference,threshold_context,tp_reference,tp_context,fp_reference,fp_context,fn_reference,fn_context,recall_reference,recall_context,precision_reference,precision_context,cost_reference,cost_context
2015,5,rf_actualizado,rf_actualizado_contexto,0.164467250955841,0.24441381924787872,82,55,7748,308,108,135,0.43157894736842106,0.2894736842105263,0.010472541507024266,0.15151515151515152,8288,983
2015,10,rf_actualizado,rf_actualizado_contexto,0.04657407529033145,0.22222171468797722,111,58,20848,1938,79,132,0.5842105263157895,0.30526315789473685,0.005296054201059211,0.02905811623246493,21638,3258
2015,25,rf_actualizado,rf_actualizado_contexto,0.04657407529033145,0.22222171468797722,111,58,20848,1938,79,132,0.5842105263157895,0.30526315789473685,0.005296054201059211,0.02905811623246493,22823,5238
2015,50,rf_actualizado,rf_actualizado_contexto,0.03486747089269901,0.205788967497016,118,62,22432,3304,72,128,0.6210526315789474,0.3263157894736842,0.005232815964523282,0.0184194890077243,26032,9704
2015,100,rf_actualizado,rf_actualizado_contexto,0.016519726771066157,0.205788967497016,126,62,24658,3304,64,128,0.6631578947368421,0.3263157894736842,0.005083925112976113,0.0184194890077243,31058,16104
2016,5,rf_actualizado,rf_actualizado_contexto,0.07789948598144587,0.1686088121683541,116,69,46,11,110,157,0.5132743362831859,0.3053097345132743,0.7160493827160493,0.8625,596,796
2016,10,rf_actualizado,rf_actualizado_contexto,0.05540740655643118,0.1686088121683541,119,69,93,11,107,157,0.5265486725663717,0.3053097345132743,0.5613207547169812,0.8625,1163,1581
2016,25,rf_actualizado,rf_actualizado_contexto,0.03005134307834322,0.1686088121683541,140,69,234,11,86,157,0.6194690265486725,0.3053097345132743,0.37433155080213903,0.8625,2384,3936
2016,50,rf_actualizado,rf_actualizado_contexto,0.01766872843756953,0.02154778165621764,149,160,682,3945,77,66,0.6592920353982301,0.7079646017699115,0.1793020457280385,0.0389768574908648,4532,7245
2016,100,rf_actualizado,rf_actualizado_contexto,0.012900155925023471,0.012241945604043054,157,174,1421,6130,69,52,0.6946902654867256,0.7699115044247787,0.09949302915082382,0.027601522842639593,8321,11330
