evaluation_year,candidate,round,cost_fn,threshold,tp,fp,fn,tn,rows,precision,recall,f1,alerts,alerts_per_10000,fp_per_10000,cost,average_precision
2015,r1_pesos_clase,previous,5,0.8187729943545314,20,7,170,87873,88070,0.7407407407407407,0.10526315789473684,0.18433179723502305,27,3.065743158850914,0.7948223004428295,857,0.27094713137740284
2015,r1_pesos_clase,previous,10,0.7159845724600464,52,102,138,87778,88070,0.33766233766233766,0.2736842105263158,0.3023255813953488,154,17.486090609742252,11.581696377881231,1482,0.27094713137740284
2015,r1_pesos_clase,previous,25,0.5580218253084854,115,561,75,87319,88070,0.17011834319526628,0.6052631578947368,0.26558891454965355,676,76.75712501419325,63.69933007834677,2436,0.27094713137740284
2015,r1_pesos_clase,previous,50,0.5580218253084854,115,561,75,87319,88070,0.17011834319526628,0.6052631578947368,0.26558891454965355,676,76.75712501419325,63.69933007834677,4311,0.27094713137740284
2015,r1_pesos_clase,previous,100,0.5580218253084854,115,561,75,87319,88070,0.17011834319526628,0.6052631578947368,0.26558891454965355,676,76.75712501419325,63.69933007834677,8061,0.27094713137740284
2015,r1_sin_balanceo,previous,5,0.16446725095584097,82,7748,108,80132,88070,0.010472541507024266,0.43157894736842106,0.020448877805486283,7830,889.0655160667651,879.7547405472919,8288,0.3758950793807244
2015,r1_sin_balanceo,previous,10,0.04657407529033146,111,20848,79,67032,88070,0.005296054201059211,0.5842105263157895,0.01049695021041184,20959,2379.811513568752,2367.2079028045873,21638,0.3758950793807244
2015,r1_sin_balanceo,previous,25,0.04657407529033146,111,20848,79,67032,88070,0.005296054201059211,0.5842105263157895,0.01049695021041184,20959,2379.811513568752,2367.2079028045873,22823,0.3758950793807244
2015,r1_sin_balanceo,previous,50,0.03486747089269901,118,22432,72,65448,88070,0.005232815964523282,0.6210526315789474,0.010378188214599824,22550,2560.463267855115,2547.0648347905076,26032,0.3758950793807244
2015,r1_sin_balanceo,previous,100,0.016519726771066157,126,24658,64,63222,88070,0.005083925112976113,0.6631578947368421,0.010090494113878433,24784,2814.1251277392985,2799.818326331327,31058,0.3758950793807244
2015,r1_smotenc,previous,5,0.724887642176321,14,14,176,87866,88070,0.5,0.07368421052631578,0.12844036697247707,28,3.179289201771318,1.589644600885659,894,0.2103776303506985
2015,r1_smotenc,previous,10,0.724887642176321,14,14,176,87866,88070,0.5,0.07368421052631578,0.12844036697247707,28,3.179289201771318,1.589644600885659,1774,0.2103776303506985
2015,r1_smotenc,previous,25,0.4891252344088401,87,364,103,87516,88070,0.19290465631929046,0.45789473684210524,0.2714508580343214,451,51.2092653571023,41.330759623027134,2939,0.2103776303506985
2015,r1_smotenc,previous,50,0.45323293308445506,102,511,88,87369,88070,0.16639477977161501,0.5368421052631579,0.25404732254047324,613,69.6037243102078,58.02202793232656,4911,0.2103776303506985
2015,r1_smotenc,previous,100,0.3854012022840137,123,944,67,86936,88070,0.11527647610121837,0.6473684210526316,0.1957040572792363,1067,121.1536277960713,107.18746451686158,7644,0.2103776303506985
2015,r1_submuestreo,previous,5,0.7609461698786175,14,11,176,87869,88070,0.56,0.07368421052631578,0.13023255813953488,25,2.8386510730101056,1.2490064721244465,891,0.22737454612535676
2015,r1_submuestreo,previous,10,0.7609461698786175,14,11,176,87869,88070,0.56,0.07368421052631578,0.13023255813953488,25,2.8386510730101056,1.2490064721244465,1771,0.22737454612535676
2015,r1_submuestreo,previous,25,0.6227897826602833,73,247,117,87633,88070,0.228125,0.38421052631578945,0.28627450980392155,320,36.33473373452935,28.045872601339845,3172,0.22737454612535676
2015,r1_submuestreo,previous,50,0.6227897826602833,73,247,117,87633,88070,0.228125,0.38421052631578945,0.28627450980392155,320,36.33473373452935,28.045872601339845,6097,0.22737454612535676
2015,r1_submuestreo,previous,100,0.4045232249940877,139,3212,51,84668,88070,0.04148015517755894,0.7315789473684211,0.0785088957921491,3351,380.49278982627453,364.70988986033836,8312,0.22737454612535676
2015,rf_actualizado,previous,5,0.164467250955841,82,7748,108,80132,88070,0.010472541507024266,0.43157894736842106,0.020448877805486283,7830,889.0655160667651,879.7547405472919,8288,0.3758950793807245
2015,rf_actualizado,previous,10,0.04657407529033145,111,20848,79,67032,88070,0.005296054201059211,0.5842105263157895,0.01049695021041184,20959,2379.811513568752,2367.2079028045873,21638,0.3758950793807245
2015,rf_actualizado,previous,25,0.04657407529033145,111,20848,79,67032,88070,0.005296054201059211,0.5842105263157895,0.01049695021041184,20959,2379.811513568752,2367.2079028045873,22823,0.3758950793807245
2015,rf_actualizado,previous,50,0.03486747089269901,118,22432,72,65448,88070,0.005232815964523282,0.6210526315789474,0.010378188214599824,22550,2560.463267855115,2547.0648347905076,26032,0.3758950793807245
2015,rf_actualizado,previous,100,0.016519726771066157,126,24658,64,63222,88070,0.005083925112976113,0.6631578947368421,0.010090494113878433,24784,2814.1251277392985,2799.818326331327,31058,0.3758950793807245
2015,rf_peso10_reciente,previous,5,0.2135451143509528,50,5910,140,81970,88070,0.008389261744966443,0.2631578947368421,0.016260162601626018,5960,676.7344158056092,671.0571136595889,6610,0.238041150828569
2015,rf_peso10_reciente,previous,10,0.13736302291125613,70,9325,120,78555,88070,0.007450771687067589,0.3684210526315789,0.014606155451225874,9395,1066.7650732371976,1058.8168502327694,10525,0.238041150828569
2015,rf_peso10_reciente,previous,25,0.07732997574740966,106,12432,84,75448,88070,0.008454298931249002,0.5578947368421052,0.016656191074795726,12538,1423.6402861360282,1411.6044055864654,14532,0.238041150828569
2015,rf_peso10_reciente,previous,50,0.07732997574740966,106,12432,84,75448,88070,0.008454298931249002,0.5578947368421052,0.016656191074795726,12538,1423.6402861360282,1411.6044055864654,16632,0.238041150828569
