evaluation_year,cost_fn,candidate_before,candidate_after,new_context_selected,tp_before,tp_after,fp_before,fp_after,fn_before,fn_after,recall_before,recall_after,precision_before,precision_after,cost_before,cost_after,alerts_per_10000_before,alerts_per_10000_after,validation_cost_before,validation_cost_after,additional_frauds_detected,additional_false_alerts,cost_change
2015,5,rf_profundo,rf_profundo,False,107,107,18278,18278,83,83,0.5631578947368421,0.5631578947368421,0.005819961925482731,0.005819961925482731,18693,18693,2087.5439990916316,2087.5439990916316,118,118,0,0,0
2015,10,rf_profundo,rf_profundo,False,107,107,18278,18278,83,83,0.5631578947368421,0.5631578947368421,0.005819961925482731,0.005819961925482731,19108,19108,2087.5439990916316,2087.5439990916316,223,223,0,0,0
2015,25,rf_profundo,rf_profundo,False,119,119,22882,22882,71,71,0.6263157894736842,0.6263157894736842,0.005173688100517369,0.005173688100517369,24657,24657,2611.6725332122173,2611.6725332122173,495,495,0,0,0
2015,50,rf_profundo,rf_profundo,False,119,119,22882,22882,71,71,0.6263157894736842,0.6263157894736842,0.005173688100517369,0.005173688100517369,26432,26432,2611.6725332122173,2611.6725332122173,945,945,0,0,0
2015,100,rf_profundo,rf_profundo,False,136,136,25350,25350,54,54,0.7157894736842105,0.7157894736842105,0.005336263046378404,0.005336263046378404,30750,30750,2893.834449869422,2893.834449869422,1652,1652,0,0,0
2016,5,rf_profundo,rf_profundo,False,118,118,21,21,108,108,0.5221238938053098,0.5221238938053098,0.8489208633093526,0.8489208633093526,561,561,15.834140228968502,15.834140228968502,275,275,0,0,0
2016,10,rf_variables_revisadas,rf_variables_revisadas,False,146,146,130,130,80,80,0.6460176991150443,0.6460176991150443,0.5289855072463768,0.5289855072463768,930,930,31.44045110212451,31.44045110212451,503,503,0,0,0
2016,25,rf_variables_revisadas,rf_variables_revisadas,False,167,167,566,566,59,59,0.7389380530973452,0.7389380530973452,0.22783083219645292,0.22783083219645292,2041,2041,83.49945890527995,83.49945890527995,1089,1089,0,0,0
2016,50,rf_variables_revisadas,rf_variables_revisadas,False,173,173,851,851,53,53,0.7654867256637168,0.7654867256637168,0.1689453125,0.1689453125,3501,3501,116.64863017599818,116.64863017599818,1811,1811,0,0,0
2016,100,rf_variables_revisadas,rf_variables_revisadas,False,182,182,1688,1688,44,44,0.8053097345132744,0.8053097345132744,0.09732620320855614,0.09732620320855614,6088,6088,213.02044768468417,213.02044768468417,2973,2973,0,0,0
2019,5,rf_variables_revisadas,rf_variables_revisadas,False,3,3,27,27,120,120,0.024390243902439025,0.024390243902439025,0.1,0.1,627,627,4.08452238318266,4.08452238318266,321,321,0,0,0
2019,10,rf_variables_revisadas,rf_variables_revisadas,False,4,4,37,37,119,119,0.032520325203252036,0.032520325203252036,0.0975609756097561,0.0975609756097561,1227,1227,5.582180590349635,5.582180590349635,621,621,0,0,0
2019,25,rf_actualizado,rf_actualizado,False,12,12,160,160,111,111,0.0975609756097561,0.0975609756097561,0.06976744186046512,0.06976744186046512,2935,2935,23.41792833024725,23.41792833024725,1468,1468,0,0,0
2019,50,rf_actualizado,rf_actualizado,False,17,17,347,347,106,106,0.13821138211382114,0.13821138211382114,0.046703296703296704,0.046703296703296704,5647,5647,49.55887158261627,49.55887158261627,2802,2802,0,0,0
2019,100,rf_actualizado,rf_actualizado,False,17,17,347,347,106,106,0.13821138211382114,0.13821138211382114,0.046703296703296704,0.046703296703296704,10947,10947,49.55887158261627,49.55887158261627,5402,5402,0,0,0
