feature,mean_absolute_shap
use_chip=Online Transaction,0.0128088096
mcc=5300,0.0035927699
mcc=4829,0.0031556667
use_chip=Swipe Transaction,0.0029454866
use_chip=Chip Transaction,0.0016922448
amount,0.0016909572
mcc=5310,0.0014841645
amount_to_credit_limit,0.0013756884
amount_to_yearly_income,0.0013734081
mcc=5094,0.0011354893
mcc=5732,0.0011306275
mcc=5719,0.0009146969
mcc=5814,0.0008108871
mcc=5912,0.0008071069
mcc=5311,0.0007692377
mcc=4214,0.0005595433
months_to_card_expiration,0.0005570483
credit_limit,0.0004084236
mcc=3596,0.0003936108
yearly_income,0.0003330078
mcc=5211,0.0003129568
mcc=5045,0.0002924383
age_at_transaction,0.0002898821
per_capita_income,0.0002861328
years_since_pin_change,0.0002794661
total_debt,0.0002777741
mcc=4784,0.000275094
mcc=5977,0.0002712799
card_account_age_years,0.0002683452
num_credit_cards,0.0002633385
credit_score,0.0002479584
mcc=4411,0.0002462125
mcc=5932,0.0002292087
mcc=4112,0.000224709
mcc=3771,0.0002138093
card_type=Debit (Prepaid),0.0002020481
mcc=3730,0.0001739879
mcc=3722,0.0001708519
mcc=5815,0.0001705551
day_of_week=7,0.0001573166
mcc=3000,0.0001359877
mcc=9402,0.0001341675
mcc=3509,0.0001278902
mcc=4722,0.0001267444
card_type=Debit,0.0001195246
mcc=3390,0.0001195228
mcc=3005,9.81407e-05
mcc=5499,9.64394e-05
transaction_hour=11,9.51272e-05
card_type=Credit,9.49576e-05
card_brand=Mastercard,9.25047e-05
mcc=3007,9.02449e-05
mcc=5541,8.98181e-05
num_cards_issued,8.92402e-05
transaction_hour=12,8.78065e-05
mcc=7832,8.55752e-05
mcc=3058,8.53031e-05
card_brand=Visa,8.51424e-05
mcc=5921,8.14607e-05
mcc=3075,8.06495e-05
mcc=4121,7.77514e-05
transaction_hour=10,6.92808e-05
mcc=3359,6.84737e-05
mcc=3780,6.83773e-05
mcc=5651,6.64592e-05
day_of_week=3,5.99838e-05
mcc=7996,5.98965e-05
has_chip=YES,5.83453e-05
day_of_week=4,5.37579e-05
mcc=4511,5.32959e-05
mcc=3684,5.02496e-05
mcc=3389,4.89708e-05
transaction_month=5,4.87464e-05
transaction_hour=13,4.84197e-05
day_of_week=5,4.75076e-05
has_chip=NO,4.71256e-05
mcc=7011,4.68242e-05
day_of_week=1,4.64556e-05
mcc=5942,4.63983e-05
transaction_month=3,4.51294e-05
day_of_week=6,4.46282e-05
transaction_hour=18,4.45287e-05
card_brand=Amex,4.42051e-05
transaction_hour=16,4.3981e-05
mcc=5411,4.14586e-05
mcc=3395,4.03103e-05
transaction_hour=14,4.0082e-05
mcc=5251,3.95792e-05
transaction_month=10,3.90484e-05
transaction_hour=15,3.70968e-05
mcc=3775,3.67373e-05
mcc=3504,3.65933e-05
transaction_month=9,3.52077e-05
transaction_month=1,3.46086e-05
mcc=5193,3.41063e-05
day_of_week=2,3.34807e-05
transaction_month=12,3.20763e-05
transaction_hour=17,3.1903e-05
transaction_hour=9,3.14106e-05
transaction_hour=19,2.98313e-05
transaction_month=7,2.90819e-05
mcc=3640,2.84813e-05
transaction_month=11,2.58582e-05
transaction_month=2,2.53006e-05
transaction_month=4,2.40193e-05
transaction_hour=5,2.2586e-05
transaction_month=8,2.18924e-05
transaction_hour=8,2.10789e-05
transaction_month=6,1.86746e-05
mcc=4814,1.65784e-05
mcc=5533,1.63564e-05
mcc=4900,1.57738e-05
mcc=5812,1.5078e-05
transaction_hour=4,1.29855e-05
transaction_hour=7,1.28291e-05
mcc=5712,1.17607e-05
mcc=5621,1.1505e-05
mcc=8043,1.1073e-05
mcc=5970,1.1038e-05
card_brand=Discover,1.08176e-05
transaction_hour=6,1.01334e-05
transaction_hour=21,9.16e-06
mcc=7801,8.9487e-06
mcc=3001,8.6954e-06
mcc=8062,8.5936e-06
mcc=7995,7.3578e-06
mcc=5813,7.1995e-06
mcc=3405,6.7862e-06
mcc=3256,6.5883e-06
mcc=4899,6.5199e-06
transaction_hour=20,5.8118e-06
mcc=5733,5.6777e-06
transaction_hour=22,4.8843e-06
mcc=6300,4.4275e-06
mcc=7922,4.409e-06
transaction_hour=3,3.4979e-06
mcc=3260,2.9693e-06
mcc=7538,2.7985e-06
transaction_hour=23,2.6851e-06
mcc=5947,2.6494e-06
mcc=3009,2.3275e-06
transaction_hour=2,2.2516e-06
mcc=3144,2.1471e-06
mcc=5816,1.8452e-06
mcc=8049,1.2712e-06
mcc=3006,1.1265e-06
mcc=4131,1.0689e-06
transaction_hour=0,7.568e-07
mcc=5722,4.549e-07
transaction_hour=1,4.277e-07
mcc=3008,4.184e-07
mcc=5655,3.739e-07
mcc=8021,3.439e-07
mcc=4111,2.981e-07
mcc=8011,1.867e-07
mcc=3387,1.505e-07
mcc=5661,1.213e-07
mcc=3132,1.082e-07
mcc=3393,9.68e-08
mcc=3066,7.84e-08
mcc=3174,7.31e-08
mcc=7542,7.05e-08
mcc=8111,2.88e-08
mcc=7349,5.4e-09
mcc=7230,4.2e-09
mcc=7802,2.8e-09
mcc=7210,4e-10
mcc=5192,2e-10
mcc=1711,0.0
mcc=5261,0.0
mcc=5941,0.0
mcc=7276,0.0
mcc=7393,0.0
mcc=7531,0.0
mcc=7549,0.0
mcc=8041,0.0
mcc=8099,0.0
mcc=8931,0.0
