feature,feature_value,shap_value
amount_to_credit_limit,11.07620144,0.1818053029
use_chip=Online Transaction,1.0,0.0878318609
amount,3.46536541,0.0621960904
amount_to_yearly_income,1.444e-05,0.0358339145
card_type=Debit (Prepaid),1.0,0.0328921743
credit_limit,-1.26888549,0.0241259056
use_chip=Swipe Transaction,0.0,0.0223382621
day_of_week=7,1.0,0.0119000669
use_chip=Chip Transaction,0.0,0.0114707361
yearly_income,-0.77260119,0.0096802382
num_credit_cards,1.37899208,0.0077532082
months_to_card_expiration,1.50514328,0.0058417259
card_account_age_years,-1.24021471,0.0051282703
total_debt,-1.08805847,0.0051127046
card_type=Debit,0.0,0.0043372673
age_at_transaction,1.45528567,0.0039359274
transaction_hour=5,1.0,0.0036205759
credit_score,-1.86891079,0.003300723
mcc=4784,0.0,0.0021271748
transaction_month=5,1.0,0.0020640241
card_type=Credit,0.0,0.0020532542
per_capita_income,-0.45293334,0.0017723325
card_brand=Visa,0.0,0.0016378546
years_since_pin_change,-0.06801853,0.0016121703
card_brand=Mastercard,1.0,0.001455192
mcc=5499,0.0,0.0012702644
mcc=5541,0.0,0.001129537
transaction_hour=19,0.0,0.00090912
num_cards_issued,0.92631423,-0.0008999243
mcc=5300,0.0,-0.0005746252
mcc=4900,0.0,0.000543235
transaction_month=6,0.0,0.0004685391
day_of_week=3,0.0,0.0004639607
day_of_week=6,0.0,0.0003956954
day_of_week=5,0.0,-0.0003696459
transaction_hour=14,0.0,0.0002850016
day_of_week=4,0.0,0.0002730067
transaction_hour=11,0.0,-0.0002621666
mcc=6300,0.0,0.0002521016
transaction_month=11,0.0,0.0002440606
mcc=3504,0.0,0.0002105837
transaction_month=8,0.0,-0.0001958745
mcc=5712,0.0,-0.0001952888
mcc=5310,0.0,-0.0001901927
day_of_week=1,0.0,0.0001746773
transaction_hour=22,0.0,0.000163479
transaction_month=3,0.0,0.0001624669
transaction_hour=8,0.0,0.0001614946
mcc=4814,0.0,0.0001560025
mcc=3684,0.0,0.0001501213
transaction_hour=20,0.0,0.0001464654
mcc=4829,0.0,-0.000145182
transaction_hour=16,0.0,-0.0001434061
transaction_hour=9,0.0,0.0001401865
day_of_week=2,0.0,-0.0001381974
mcc=5732,0.0,-0.0001276611
transaction_month=1,0.0,0.0001231469
transaction_month=10,0.0,0.0001154646
transaction_month=12,0.0,0.0001071003
has_chip=NO,0.0,-0.0001036201
has_chip=YES,1.0,-0.0001021455
transaction_hour=21,0.0,9.92853e-05
mcc=5812,0.0,9.24464e-05
mcc=5411,0.0,9.05947e-05
card_brand=Amex,0.0,8.88679e-05
transaction_month=7,0.0,8.52576e-05
mcc=5815,0.0,-8.47663e-05
transaction_hour=2,0.0,8.32953e-05
transaction_month=4,0.0,6.2827e-05
transaction_hour=12,0.0,6.03488e-05
transaction_hour=23,0.0,5.95274e-05
mcc=5094,0.0,-5.8051e-05
mcc=5912,0.0,5.61723e-05
transaction_hour=17,0.0,5.52166e-05
card_brand=Discover,0.0,5.4062e-05
mcc=3596,0.0,5.17339e-05
transaction_hour=15,0.0,-5.04296e-05
mcc=8021,0.0,4.28828e-05
mcc=4121,0.0,4.19413e-05
mcc=3730,0.0,-4.15098e-05
mcc=4899,0.0,4.06181e-05
mcc=5311,0.0,3.80957e-05
transaction_month=2,0.0,-3.61806e-05
mcc=5921,0.0,-3.44329e-05
mcc=4411,0.0,-2.5429e-05
transaction_hour=7,0.0,2.07174e-05
mcc=5977,0.0,-2.01558e-05
mcc=5719,0.0,-1.98897e-05
mcc=7538,0.0,1.7683e-05
transaction_hour=4,0.0,1.67147e-05
mcc=3359,0.0,-1.46495e-05
mcc=5045,0.0,-1.41496e-05
mcc=4214,0.0,-1.3981e-05
mcc=3640,0.0,-1.33985e-05
mcc=3390,0.0,-1.29217e-05
mcc=5211,0.0,-1.13992e-05
mcc=5251,0.0,-1.05241e-05
mcc=3722,0.0,-1.02668e-05
transaction_hour=6,0.0,-1.00928e-05
transaction_month=9,0.0,-9.8629e-06
transaction_hour=3,0.0,8.4659e-06
transaction_hour=13,0.0,8.3734e-06
mcc=3771,0.0,-7.669e-06
mcc=3000,0.0,-6.8419e-06
mcc=4722,1.0,6.4294e-06
mcc=4112,0.0,-6.0099e-06
mcc=5814,0.0,-5.9713e-06
mcc=5651,0.0,5.7954e-06
mcc=5733,0.0,-5.739e-06
mcc=3405,0.0,-5.5987e-06
mcc=3075,0.0,-5.5162e-06
mcc=9402,0.0,-4.9521e-06
mcc=5533,0.0,-4.132e-06
mcc=3389,0.0,-4.0558e-06
transaction_hour=10,0.0,3.4373e-06
mcc=3144,0.0,-3.1974e-06
mcc=3007,0.0,-3.117e-06
mcc=3780,0.0,-2.6746e-06
mcc=5813,0.0,-2.6125e-06
mcc=7011,0.0,-2.6032e-06
mcc=3009,0.0,-2.2739e-06
mcc=3395,0.0,-2.0066e-06
mcc=7832,0.0,-1.9775e-06
mcc=7922,0.0,1.7976e-06
mcc=3005,0.0,-1.5804e-06
mcc=3058,0.0,-1.5328e-06
mcc=5816,0.0,-1.4875e-06
mcc=4511,0.0,1.3694e-06
mcc=3775,0.0,-1.3638e-06
mcc=8062,0.0,-1.1758e-06
mcc=3008,0.0,-1.1677e-06
mcc=5970,0.0,-1.1223e-06
mcc=5655,0.0,-1.0683e-06
mcc=3006,0.0,-8.763e-07
mcc=7801,0.0,-8.587e-07
mcc=7996,0.0,-8.579e-07
mcc=5193,0.0,-7.113e-07
mcc=5722,0.0,-5.996e-07
mcc=5942,0.0,-5.526e-07
transaction_hour=1,0.0,-5.091e-07
mcc=5621,0.0,-4.893e-07
mcc=3387,0.0,4.086e-07
mcc=3509,0.0,-3.714e-07
mcc=7542,0.0,-2.886e-07
transaction_hour=18,0.0,-2.876e-07
mcc=5932,0.0,-2.739e-07
transaction_hour=0,0.0,2.686e-07
mcc=4131,0.0,2.32e-07
mcc=3174,0.0,-1.815e-07
mcc=3393,0.0,-1.521e-07
mcc=5947,0.0,-1.371e-07
mcc=7995,0.0,-1.276e-07
mcc=8049,0.0,-7.24e-08
mcc=3132,0.0,-7.17e-08
mcc=4111,0.0,6.83e-08
mcc=3256,0.0,-6.35e-08
mcc=8043,0.0,-6.25e-08
mcc=3066,0.0,-5.37e-08
mcc=5661,0.0,-4.98e-08
mcc=8011,0.0,-2.77e-08
mcc=8111,0.0,8.2e-09
mcc=3260,0.0,-7.3e-09
mcc=3001,0.0,3e-09
mcc=7349,0.0,1e-09
mcc=7230,0.0,8e-10
mcc=7802,0.0,7e-10
mcc=5192,0.0,2e-10
mcc=1711,0.0,0.0
mcc=5261,0.0,0.0
mcc=5941,0.0,0.0
mcc=7210,0.0,0.0
mcc=7276,0.0,0.0
mcc=7393,0.0,0.0
mcc=7531,0.0,0.0
mcc=7549,0.0,0.0
mcc=8041,0.0,0.0
mcc=8099,0.0,0.0
mcc=8931,0.0,0.0
